t,counts,nextinct,delta_n,mean_n,delta2_n,M2_n,var_n,delta_h,mean_h,delta2_h,M2_h,var_h,delta_w,mean_w,delta2_w,M2_w,var_w,delta_m,mean_m,delta2_m,M2_m,var_m,delta_ns,mean_ns,delta2_ns,M2_ns,var_ns,delta_nf,mean_nf,delta2_nf,M2_nf,var_nf,delta_fs,mean_fs,delta2_fs,M2_fs,var_fs,cdf_h_0_1,cdf_h_0_2,cdf_h_0_3,cdf_h_0_4,cdf_h_0_5,cdf_h_0_6,cdf_h_0_7,cdf_h_0_8,cdf_h_0_9,p_h_fix_0,p_h_fix_1,cdf_fs_0_1,cdf_fs_0_2,cdf_fs_0_3,cdf_fs_0_4,cdf_fs_0_5,cdf_fs_0_6,cdf_fs_0_7,cdf_fs_0_8,cdf_fs_0_9,p_fs_fix_0,p_fs_fix_1
0.0,10000.0,0.0,0.0,505.0,0.0,0.0,0.0,0.0,0.29901,0.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,497.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.984158415842,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10000.0,0.0,12.1760176018,504.8252,12.1748,1483722.4496,148.387083668,-0.0243748473847,0.2990344099,-0.0243724099,1.8968298618,0.000189701956376,21.1346134613,353.8675,21.1325,1228437.4375,122.856029353,-8.95859585959,150.9577,-8.9577,608821.1071,60.88819953,11.0398039804,496.9613,11.0387,1506348.0231,150.649867297,1.13621362136,7.8639,1.1361,114861.7679,11.4873255226,-0.00183990004901,0.984431592268,-0.00183971605901,0.446422005188,4.46466651853e-05,0.0,0.0,5381.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
20.0,10000.0,0.0,15.6109610961,504.3906,15.6094,2083782.3164,208.399071547,-0.00666855565557,0.2989758888,-0.0066678888,3.87562500917,0.000387601261043,14.4122412241,353.5892,14.4108,2004006.4336,200.420685429,1.19871987199,150.8014,1.1986,1173261.5804,117.337891829,17.4804480448,496.5213,17.4787,2075965.4631,207.617308041,-1.86948694869,7.8693,-1.8693,117698.1751,11.7709946095,0.00405170780911,0.984410235823,0.00405130263833,0.456145468426,4.56191087535e-05,0.0,0.0,5255.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
30.0,10000.0,0.0,19.5941594159,504.4078,19.5922,2296462.9916,229.669266087,0.00827530893089,0.2989775186,0.0082744814,5.78351144777,0.000578408985676,9.39663966397,353.6043,9.3957,2620407.2151,262.066928203,10.197519752,150.8035,10.1965,1667288.8775,166.745562306,21.4350435044,496.5671,21.4329,2279282.9759,227.951092699,-1.84088408841,7.8407,-1.8407,117793.2351,11.7805015602,0.00408177375466,0.984468252743,0.00408136557729,0.456316586119,4.56362222341e-05,0.0,0.0,5213.0,9999.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
40.0,10000.0,0.0,26.7796779678,504.223,26.777,2504178.71,250.442915292,0.0193116535654,0.2989572776,0.0193097224,7.60210267734,0.000760286296363,8.51385138514,353.487,8.513,3198072.31,319.839214921,18.2658265827,150.736,18.264,2141139.04,214.135317532,29.701070107,496.3019,29.6981,2480965.5639,248.121368527,-2.92139213921,7.9211,-2.9211,117728.7479,11.7740521952,0.00628185822743,0.984302574102,0.00628123004161,0.457372315435,4.57418057241e-05,0.0,2.0,5181.0,9998.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
50.0,10000.0,0.0,6.7903790379,504.2103,6.7897,2593160.7391,259.342008111,0.00253216871687,0.2988380845,0.0025319155,9.53160258322,0.00095325558388,3.46114611461,353.5392,3.4608,3739638.6336,374.001263486,3.32923292329,150.6711,3.3289,2634357.2479,263.462070997,-1.36783678368,496.3677,-1.3677,2559636.9671,255.98929564,8.15821582158,7.8426,8.1574,119090.2524,11.9102162616,-0.0157727065172,0.984459974648,-0.0157711292466,0.46122644062,4.61272567876e-05,0.0,5.0,5241.0,9993.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
60.0,10000.0,0.0,-10.0833083308,504.0823,-10.0823,2541251.2671,254.150541764,-0.0174630254025,0.2988382791,-0.0174612791,11.317209345,0.00113183411792,1.54935493549,353.4508,1.5492,4174081.7936,417.449924352,-11.6326632663,150.6315,-11.6315,3076113.0775,307.642071957,-6.24262426243,496.242,-6.242,2515938.36,251.6189979,-3.84068406841,7.8403,-3.8403,120909.9591,12.0922051305,0.00744415672281,0.984459421701,0.00744341230714,0.46923810428,4.69285032783e-05,0.0,10.0,5263.0,9971.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
70.0,10000.0,0.0,-8.06650665066,504.0657,-8.0657,2480239.8351,248.048788389,-0.0327481141114,0.2988738393,-0.0327448393,13.3315440198,0.00133328773075,10.5849584958,353.4161,10.5839,4620945.6079,462.140774867,-18.6514651465,150.6496,-18.6496,3597964.1984,359.83240308,-4.24432443245,496.2439,-4.2439,2445788.1279,244.603273117,-3.82218221822,7.8218,-3.8218,116066.4476,11.6078055406,0.00743903927289,0.984497188502,0.00743829536896,0.44999004841,4.50035051916e-05,0.0,24.0,5246.0,9962.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
80.0,10000.0,0.0,-18.9180918092,503.9162,-18.9162,2495691.7756,249.594136974,-0.0327639160916,0.2987396397,-0.0327606397,15.1355083499,0.00151370220521,2.63506350635,353.3652,2.6348,4991548.2896,499.204749435,-21.5531553155,150.551,-21.551,4101487.99,410.189817982,-18.0922092209,496.0904,-18.0904,2461170.2784,246.141642004,-0.825882588259,7.8258,-0.8258,116152.5436,11.6164160016,0.00108260960384,0.984484508966,0.00108250134288,0.449992178316,4.50037182034e-05,0.0,33.0,5231.0,9935.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
90.0,10000.0,0.0,-25.9125912591,503.91,-25.91,2489827.0,249.00760076,-0.0497170083008,0.2986660366,-0.0497120366,17.0344980395,0.00170362016596,5.60446044604,353.3961,5.6039,5461798.0479,546.234428233,-31.5170517052,150.5139,-31.5139,4592004.0679,459.246331423,-26.1266126613,496.124,-26.124,2463096.24,246.334257426,0.21402140214,7.786,0.214,116784.04,11.6795719572,-0.00129847713473,0.984561945613,-0.00129834728702,0.453837376323,4.53882764599e-05,0.0,62.0,5258.0,9907.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
