,t,ws,wf,ms,mf
0,0.0,350.0,350.0,150.0,150.0
1,1.0,609.414577392,78.5970338539,261.177676025,33.6844430802
2,2.0,625.744082238,48.3845208289,268.176035245,20.7362232124
3,3.0,616.708968615,43.8719794729,264.303843692,18.802276917
4,4.0,605.405465618,42.1779559835,259.459485265,18.0762668501
5,5.0,594.275820986,40.8617536701,254.689637566,17.5121801443
6,6.0,583.565325359,39.6577577813,250.099425154,16.9961819063
7,7.0,573.285489609,38.5326061637,245.693781261,16.5139740701
8,8.0,563.423150055,37.4782273696,241.467064309,16.0620974441
9,9.0,553.962932107,36.4895762374,237.412685189,15.638389816
10,10.0,544.889787646,35.5620857079,233.524194705,15.2408938748
11,10.0,544.889787646,35.5620857079,233.524194705,15.2408938748
12,11.0,536.188894732,34.6917473797,229.7952406,14.8678917342
13,12.0,527.846058422,33.8746418629,226.219739324,14.5177036555
14,13.0,519.847384642,33.1072539278,222.791736275,14.1888231119
15,14.0,512.17983436,32.3862309758,219.505643297,13.8798132753
16,15.0,504.830354348,31.7085769736,216.355866149,13.5893901315
17,16.0,497.786539379,31.0713938591,213.337088305,13.3163116539
18,17.0,491.036384793,30.4720451176,210.444164911,13.0594479076
19,18.0,484.568233094,29.9080456956,207.672099898,12.8177338696
20,19.0,478.37087225,29.3771147375,205.016088107,12.5901920304
21,20.0,472.433448244,28.8771516019,202.471477819,12.3759221151
22,20.0,472.433448244,28.8771516019,202.471477819,12.3759221151
23,21.0,466.745637961,28.4060938345,200.03384484,12.1740402148
24,22.0,461.297276169,27.9621081132,197.698832644,11.9837606199
25,23.0,456.078820295,27.5435104545,195.462351555,11.8043616234
26,24.0,451.080857258,27.1487144412,193.320367396,11.635163332
27,25.0,446.294461361,26.7761792523,191.269054869,11.4755053938
28,26.0,441.710974469,26.4245351526,189.304703344,11.3248007797
29,27.0,437.322103192,26.0924688431,187.423758511,11.182486647
30,28.0,433.119815538,25.7788088585,185.622778088,11.0480609394
31,29.0,429.096455506,25.4823951943,183.898480931,10.9210265119
32,30.0,425.24459972,25.2022089536,182.247685594,10.8009466944
33,30.0,425.24459972,25.2022089536,182.247685594,10.8009466944
34,31.0,421.557217571,24.9372408478,180.667378959,10.6873889348
35,32.0,418.027259612,24.6865965404,179.154539834,10.5799699459
36,33.0,414.648451826,24.4493893713,177.706479354,10.4783097305
37,34.0,411.414382345,24.2248277054,176.320449577,10.3820690166
38,35.0,408.318869194,24.0122910393,174.993801083,10.290981874
39,36.0,405.356289753,23.8108942596,173.72412418,10.2046689684
40,37.0,402.520962175,23.6200859462,172.508983789,10.1228939769
41,38.0,399.807577451,23.4392101408,171.346104622,10.0453757746
42,39.0,397.210929669,23.2677577301,170.233255572,9.97189617004
43,40.0,394.726146488,23.1051371087,169.168348495,9.90220161801
44,40.0,394.726146488,23.1051371087,169.168348495,9.90220161801
45,41.0,392.348511951,22.9509042598,168.149362265,9.83610182565
46,42.0,390.073308054,22.8045287835,167.17427488,9.77336947865
47,43.0,387.896378753,22.6655909713,166.24130518,9.71382470199
48,44.0,385.813430909,22.5337036599,165.348613247,9.65730156851
49,45.0,383.820532828,22.4084369975,164.494514069,9.60361585609
50,46.0,381.913856975,22.2894341383,163.677367275,9.55261463071
51,47.0,380.089724491,22.1764012949,162.89559621,9.50417198352
52,48.0,378.344651386,22.0689697312,162.147707737,9.4581298848
53,49.0,376.675215466,21.9668306617,161.4322352,9.41435599786
54,50.0,375.078142928,21.8697365511,160.74777554,9.3727442362
55,50.0,375.078142928,21.8697365511,160.74777554,9.3727442362
56,51.0,373.550413342,21.7774271407,160.093034289,9.33318306032
57,52.0,372.088825775,21.6896119894,159.466639618,9.29554799547
58,53.0,370.690780648,21.606054403,158.86747742,9.25973760128
59,54.0,369.353424013,21.5265623203,158.294324577,9.22566956584
60,55.0,368.07416145,21.4509014336,157.746069193,9.19324347153
61,56.0,366.850545992,21.3788837377,157.221662568,9.16237874475
62,57.0,365.680172328,21.3103311038,156.720073855,9.1329990445
63,58.0,364.560731924,21.2450415318,156.240313682,9.10501779935
64,59.0,363.490013447,21.182860557,155.781434334,9.07836881016
65,60.0,362.465922845,21.1236214176,155.342538362,9.05298060756
66,60.0,362.465922845,21.1236214176,155.342538362,9.05298060756
67,61.0,361.486393105,21.0672155397,154.922739902,9.02880665986
68,62.0,360.549476427,21.0134610675,154.521204183,9.00576902893
69,63.0,359.653402035,20.9622385858,154.137172301,8.98381653677
70,64.0,358.796436345,20.9134370894,153.769901291,8.96290160976
71,65.0,357.976891962,20.866866149,153.418667984,8.94294263529
72,66.0,357.193036062,20.8225153784,153.082729741,8.92393516217
73,67.0,356.44336977,20.7802161866,152.761444187,8.9058069371
74,68.0,355.726391124,20.7398900315,152.454167624,8.88852429923
75,69.0,355.040731176,20.7014313965,152.160313361,8.87204202705
76,70.0,354.385029018,20.664747872,151.879298151,8.85632051658
77,70.0,354.385029018,20.664747872,151.879298151,8.85632051658
78,71.0,353.757961242,20.6297600692,151.610554818,8.84132574393
79,72.0,353.158250298,20.5963818767,151.353535842,8.8270208043
80,73.0,352.58472798,20.5645634661,151.107740563,8.81338434262
81,74.0,352.036250778,20.5341748029,150.872678905,8.8003606298
82,75.0,351.511767728,20.505162979,150.647900455,8.78792699101
83,76.0,351.010200694,20.4775071175,150.432943155,8.77607447895
84,77.0,350.530561266,20.4511092754,150.2273834,8.76476111803
85,78.0,350.071889942,20.4259142062,150.030809975,8.75396323121
86,79.0,349.633267626,20.4018618994,149.842828983,8.74365509974
87,80.0,349.21379925,20.3789048933,149.663056821,8.73381638284
88,80.0,349.21379925,20.3789048933,149.663056821,8.73381638284
89,81.0,348.812743315,20.3569884828,149.491175706,8.72442363549
90,82.0,348.429153886,20.3360743448,149.326780237,8.71546043348
91,83.0,348.062392452,20.3160952566,149.169596765,8.70689796712
92,84.0,347.711681081,20.2970157137,149.019291892,8.69872102017
93,85.0,347.37630937,20.2788011397,148.875561158,8.69091477415
94,86.0,347.055605541,20.261414818,148.73811666,8.68346349345
95,87.0,346.748945834,20.2448024767,148.606691072,8.67634391857
96,88.0,346.455699011,20.2289458328,148.481013862,8.66954821406
97,89.0,346.175296593,20.2137932981,148.360841397,8.66305427061
98,90.0,345.907159967,20.199329475,148.2459257,8.65685548931
99,90.0,345.907159967,20.199329475,148.2459257,8.65685548931
100,91.0,345.650832834,20.185497587,148.136071214,8.65092753729
101,92.0,345.40562116,20.1722962279,148.030980497,8.64526981196
102,93.0,345.171184844,20.1596880232,147.93050779,8.63986629564
103,94.0,344.947002918,20.1476499159,147.834429822,8.63470710681
104,95.0,344.732647628,20.1361299112,147.742563269,8.62976996194
105,96.0,344.527677775,20.1251316851,147.654719046,8.62505643645
106,97.0,344.331697766,20.1146205942,147.570727614,8.62055168322
107,98.0,344.144287416,20.104589766,147.490408892,8.61625275688
108,99.0,343.9650945,20.0949967151,147.413611929,8.61214144935
109,100.0,343.793704515,20.0858323001,147.340159078,8.60821384292
110,100.0,343.793704515,20.0858323001,147.340159078,8.60821384292
111,101.0,343.62992649,20.0770790804,147.269968496,8.60446246304
112,102.0,343.473266652,20.0687130387,147.202828565,8.60087701659
113,103.0,343.323467819,20.060720221,147.138629065,8.59745152328
114,104.0,343.180227221,20.0530822959,147.077240238,8.59417812683
115,105.0,343.043267724,20.0457861713,147.01854331,8.59105121627
116,106.0,342.912311503,20.038807727,146.962419215,8.58806045445
117,107.0,342.787063279,20.0321440161,146.908741405,8.58520457833
118,108.0,342.667344906,20.0257643122,146.857433531,8.5824704195
119,109.0,342.552859284,20.0196797626,146.808368265,8.5798627554
120,110.0,342.443376175,20.0138571844,146.761446932,8.57736736476
121,110.0,342.443376175,20.0138571844,146.761446932,8.57736736476
122,111.0,342.338768024,20.0082961221,146.716614868,8.57498405232
123,112.0,342.238687295,20.0029805413,146.673723126,8.57270594627
124,113.0,342.142994215,19.9979001259,146.632711807,8.57052862541
125,114.0,342.051499695,19.9930345065,146.593499869,8.56844335995
126,115.0,341.964004869,19.9884000517,146.556002087,8.56645716501
127,116.0,341.880350252,19.983965951,146.520150108,8.56455683615
128,117.0,341.800360445,19.9797286419,146.485868762,8.56274084655
129,118.0,341.723884131,19.9756706883,146.453093199,8.56100172355
130,119.0,341.650752562,19.9717982802,146.421751098,8.55934212008
131,120.0,341.58082736,19.9680987916,146.391783154,8.55775662497
132,120.0,341.58082736,19.9680987916,146.391783154,8.55775662497
133,121.0,341.514024883,19.964555296,146.363153521,8.55623798401
134,122.0,341.45008389,19.961177037,146.335750239,8.55479015872
135,123.0,341.388958696,19.957943788,146.309553727,8.55340448055
136,124.0,341.330520135,19.9548459859,146.284508629,8.55207685109
137,125.0,341.274647998,19.9518777283,146.260563428,8.55080474068
138,126.0,341.221203811,19.9490651219,146.237658776,8.54959933797
139,127.0,341.170111199,19.9463677086,146.215761943,8.5484433037
140,128.0,341.121267296,19.9437799584,146.194828841,8.54733426789
141,129.0,341.074560512,19.9413114956,146.174811648,8.54627635527
142,130.0,341.029901589,19.9389515808,146.15567211,8.54526496319
143,130.0,341.029901589,19.9389515808,146.15567211,8.54526496319
144,131.0,340.987249518,19.936705352,146.13739265,8.54430229373
145,132.0,340.946404297,19.9345564032,146.119887556,8.54338131567
146,133.0,340.907377587,19.9324795546,146.103161823,8.5424912377
147,134.0,340.870059801,19.9304971085,146.087168486,8.54164161792
148,135.0,340.834350538,19.928630291,146.071864516,8.54084155329
149,136.0,340.800231709,19.9268210728,146.057242161,8.54006617404
150,137.0,340.767590697,19.9251098148,146.043253156,8.53933277779
151,138.0,340.736395232,19.9234597459,146.029883671,8.53862560537
152,139.0,340.706572547,19.9218772912,146.01710252,8.53794741053
153,140.0,340.678044729,19.9203774579,146.004876312,8.5373046248
