t,counts,nextinct,delta_n,mean_n,delta2_n,M2_n,var_n,delta_h,mean_h,delta2_h,M2_h,var_h,delta_w,mean_w,delta2_w,M2_w,var_w,delta_m,mean_m,delta2_m,M2_m,var_m,delta_ns,mean_ns,delta2_ns,M2_ns,var_ns,delta_nf,mean_nf,delta2_nf,M2_nf,var_nf,delta_fs,mean_fs,delta2_fs,M2_fs,var_fs,cdf_h_0_1,cdf_h_0_2,cdf_h_0_3,cdf_h_0_4,cdf_h_0_5,cdf_h_0_6,cdf_h_0_7,cdf_h_0_8,cdf_h_0_9,p_h_fix_0,p_h_fix_1,cdf_fs_0_1,cdf_fs_0_2,cdf_fs_0_3,cdf_fs_0_4,cdf_fs_0_5,cdf_fs_0_6,cdf_fs_0_7,cdf_fs_0_8,cdf_fs_0_9,p_fs_fix_0,p_fs_fix_1
0.0,10000.0,0.0,0.0,1435.0,0.0,0.0,0.0,0.0,0.303136,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,1382.0,0.0,0.0,0.0,0.0,0.0369337979094,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
10.0,10000.0,0.0,-2.02220222022,1435.022,-2.022,106199.16,10.6209780978,-0.000980509950994,0.3031434119,-0.000980411899999,0.0249994592864,2.50019594823e-06,0.000600060007059,999.9994,0.0006000000011,5.99640000001,0.000599699969998,-2.02280228023,435.0226,-2.0226,106202.8924,10.6213513751,6.78427842784,53.2164,6.7836,511337.7104,51.1388849285,-8.80648064806,1381.8056,-8.8056,620876.0864,62.0938180218,0.00478637813713,0.0370843028733,0.00478589949931,0.248426728608,2.48451573766e-05,0.0,0.0,139.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
20.0,10000.0,0.0,-0.013301330129,1435.0133,-0.013299999996,208617.2311,20.8638094909,2.80228021898e-07,0.3031357198,2.80199999092e-07,0.0491058098749,4.9110720947e-06,0.000600060009333,999.9994,0.000600000003374,5.9964,0.000599699969997,-0.0139013901403,435.0139,-0.0139000000013,208607.0679,20.8627930693,-7.31723172317,53.3165,-7.3165,535057.2775,53.5110788579,7.30393039305,1381.6968,7.30320000001,737002.6976,73.7076405241,-0.00509898598116,0.0371542252115,-0.00509847608256,0.259865863769,2.59891852954e-05,0.0,0.0,658.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
30.0,10000.0,0.0,2.94069406941,1435.0596,2.9404,313246.4784,31.3277806181,0.0014354119412,0.3031547316,0.0014352684,0.0737490972516,7.37564728989e-06,0.000700070010566,999.9993,0.000700000003576,6.99509999999,0.000699579957995,2.9399939994,435.0603,2.9397,313296.6391,31.3327971897,9.79497949795,53.206,9.794,518987.64,51.9039543954,-6.85428542854,1381.8536,-6.8536,846741.6704,84.6826353035,0.00673479354727,0.0370767283326,0.00673412006792,0.252459264005,2.52484512456e-05,0.0,0.0,1137.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
40.0,10000.0,0.0,2.97089708971,1435.0294,2.9706,417007.3564,41.7049061306,0.00145331023102,0.3031368351,0.0014531649,0.0981560476751,9.81658642615e-06,0.00110011001004,999.9989,0.00109999999904,10.9879,0.00109889988999,2.9697969797,435.0305,2.9695,417003.6975,41.704540204,-0.241224122412,53.2412,-0.2412,516324.2256,51.6375863186,3.21212121212,1381.7882,3.2118,914545.4076,91.4636871287,-0.000244695470616,0.0371014164809,-0.000244671001069,0.250721281905,2.50746356541e-05,0.0,0.0,1540.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
50.0,10000.0,0.0,3.92079207921,1435.0796,3.9204,521272.6384,52.1324770877,0.00191564676468,0.3031575448,0.0019154552,0.122670300988,1.22682569245e-05,0.000900090009509,999.9991,0.000900000000456,8.99190000001,0.000899279927994,3.9198919892,435.0805,3.9195,521202.1975,52.1254322932,2.85548554855,53.1448,2.8552,522872.3296,52.2924622062,1.06530653065,1381.9348,1.0652,1036845.4896,103.694918452,0.0018826930536,0.0370334090448,0.0018825047843,0.254074644006,2.54100054011e-05,0.0,0.0,1802.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
60.0,10000.0,0.0,0.899589958997,1435.1005,0.899500000001,629483.9975,62.9546952195,0.000457079907991,0.3031639658,0.0004570342,0.148178923942,1.48193743317e-05,0.000800080009185,999.9992,0.000800000001163,7.99359999999,0.000799439943993,0.898789878987,435.1013,0.898699999999,629532.3831,62.9595342634,-0.167316731673,53.1673,-0.1673,538103.1071,53.8156922792,1.06690669067,1381.9332,1.0668,1157169.3776,115.728510611,-0.000140608612586,0.0370486725462,-0.000140594551724,0.261495550765,2.61521702936e-05,0.0,0.0,2084.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
70.0,10000.0,0.0,2.93329332934,1435.067,2.933,744763.11,74.4837593759,0.00144662876288,0.3031435159,0.0014464841,0.175340580241,1.75358116053e-05,0.000400039998794,999.9996,0.000399999994784,3.99839999999,0.000399879987998,2.93289328933,435.0674,2.9326,744838.5724,74.4913063706,-1.1703170317,53.1702,-1.1702,524144.3196,52.4196739274,4.10361036103,1381.8968,4.1032,1287203.4976,128.733223082,-0.000891212803612,0.0370524588701,-0.000891123682332,0.25535140963,2.55376947324e-05,0.0,0.0,2283.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
80.0,10000.0,0.0,6.89308930893,1435.1076,6.8924,851832.2224,85.1917414141,0.00335951885188,0.3031598171,0.0033591829,0.200559678098,2.00579736072e-05,0.00070007000852,999.9993,0.00070000000153,6.9951,0.000699579957996,6.89238923892,435.1083,6.8917,851849.7111,85.193490459,-1.05500550055,53.0549,-1.0549,516312.8599,51.636449635,7.94809480948,1382.0527,7.9473,1351541.2271,135.167639474,-0.000909471936229,0.0369704073413,-0.000909380989035,0.250968416053,2.50993515405e-05,0.0,0.0,2445.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
90.0,10000.0,0.0,3.91669166916,1435.0837,3.91629999999,965292.9431,96.5389482048,0.00192860926093,0.3031445836,0.0019284164,0.227242445922,2.27265172439e-05,0.00100010001154,999.999,0.00100000000157,9.98999999999,0.00099909990999,3.91569156916,435.0847,3.9153,965203.2591,96.5299789079,8.77217721772,53.2287,8.7713,525155.9631,52.5208483948,-4.85548554856,1381.855,-4.855,1480975.75,148.112386239,0.00599356396125,0.0370925114202,0.00599296460486,0.255545906032,2.55571463178e-05,0.0,0.0,2560.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
