t,counts,nextinct,delta_n,mean_n,delta2_n,M2_n,var_n,delta_h,mean_h,delta2_h,M2_h,var_h,delta_w,mean_w,delta2_w,M2_w,var_w,delta_m,mean_m,delta2_m,M2_m,var_m,delta_ns,mean_ns,delta2_ns,M2_ns,var_ns,delta_nf,mean_nf,delta2_nf,M2_nf,var_nf,delta_fs,mean_fs,delta2_fs,M2_fs,var_fs,cdf_h_0_1,cdf_h_0_2,cdf_h_0_3,cdf_h_0_4,cdf_h_0_5,cdf_h_0_6,cdf_h_0_7,cdf_h_0_8,cdf_h_0_9,p_h_fix_0,p_h_fix_1,cdf_fs_0_1,cdf_fs_0_2,cdf_fs_0_3,cdf_fs_0_4,cdf_fs_0_5,cdf_fs_0_6,cdf_fs_0_7,cdf_fs_0_8,cdf_fs_0_9,p_fs_fix_0,p_fs_fix_1
0.0,10000.0,0.0,0.0,1381.0,0.0,0.0,0.0,0.0,0.291818,0.0,0.0,0.0,0.0,978.0,0.0,0.0,0.0,0.0,403.0,0.0,0.0,0.0,0.0,1329.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.962346125996,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10000.0,0.0,-14.4633463346,1381.4619,-14.4619,2516659.4839,251.691117502,-0.0108140242024,0.2917199428,-0.0108129428,0.681620585003,6.81688753879e-05,4.65856585659,978.3419,4.6581,214234.0439,21.4255469447,-19.1219121912,403.12,-19.12,2487208.0,248.745674567,-4.69566956695,1328.6952,-4.6952,2894982.9696,289.527249685,-9.76767676768,52.7667,-9.7667,770588.7111,77.0665777678,0.00673597027355,0.961808960822,0.00673529667652,0.397784010976,3.97823793355e-05,0.0,0.0,8451.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,10000.0,0.0,-4.64406440644,1381.6436,-4.6436,5006759.7904,500.726051645,-0.00630712761276,0.2917094969,-0.0063064969,1.34145122526,0.00013415853838,5.64366436644,978.3569,5.6431,214449.2239,21.4470670967,-10.2877287729,403.2867,-10.2867,4998935.0311,499.94349746,-4.87658765876,1328.8761,-4.8761,4944517.4879,494.50119891,0.232523252325,52.7675,0.2325,785920.4375,78.5999037404,-0.000309810262802,0.96182030942,-0.000309779281775,0.398030674765,3.98070481813e-05,0.0,0.0,7663.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,10000.0,0.0,0.99569956996,1382.0044,0.995600000003,7721063.8064,772.183599,-0.00114680768077,0.291818693,-0.001146693,2.02577959219,0.000202598219041,2.67496749675,978.3253,2.6747,213418.7991,21.3440143114,-1.67926792679,403.6791,-1.6791,7651195.2319,765.196042794,-0.261326132618,1329.2613,-0.261300000005,7316780.2231,731.75119743,1.25702570257,52.7431,1.2569,774159.0239,77.4236447545,-0.00089680668279,0.961851163857,-0.000896717002122,0.387147973639,3.87186692308e-05,0.0,0.0,7214.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,10000.0,0.0,-10.8887888789,1381.8877,-10.8877,10295844.8871,1029.68745746,-0.00499725982598,0.2916487601,-0.0049967601,2.70631609222,0.00027065867509,-0.345234523449,978.3452,-0.345199999997,212462.3696,21.2483617962,-10.5435543554,403.5425,-10.5425,10246021.9375,1024.70466422,-25.0878087809,1329.0853,-25.0853,9557270.2391,955.822606171,14.199019902,52.8024,14.1976,815707.5424,81.5789121312,-0.0106801459161,0.961809639535,-0.0106790779015,0.403915505542,4.03955901132e-05,0.0,0.0,6972.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,10000.0,0.0,8.13331333133,1381.8675,8.1325,12917429.4375,1291.87213096,-0.000176866886689,0.2915438492,-0.000176849200001,3.39540885658,0.000339574843143,6.65946594659,978.3412,6.6588,206331.8256,20.6352460846,1.47384738474,403.5263,1.4737,12880607.0831,1288.18952726,4.86528652865,1329.1352,4.8648,11758771.2096,1175.99472043,3.26802680268,52.7323,3.2677,833296.3671,83.3379705071,-0.00215406865426,0.961866083463,-0.00215385324739,0.406138490668,4.06179108579e-05,0.0,0.0,6761.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,10000.0,0.0,19.8728872887,1382.1291,19.8709,15513580.3319,1551.51318451,0.0129075222522,0.2916587685,0.0129062315,4.05564616766,0.000405605177284,-3.23752375238,978.2372,-3.2372,210635.3616,21.0656427243,23.1104110411,403.8919,23.1081,15466344.1439,1546.7890933,22.7475747575,1329.2547,22.7453,14119148.2791,1412.05603351,-2.87468746875,52.8744,-2.8744,839082.2464,83.9166163016,0.00256548969245,0.961771428768,0.00256523314348,0.406042037276,4.0608264554e-05,0.0,0.0,6628.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,10000.0,0.0,39.6844684468,1382.3195,39.6805,18205878.1975,1820.76989674,0.0192187516752,0.2916131702,0.0192168298,4.76059382568,0.000476106993268,1.70257025703,978.2976,1.7024,211598.3424,21.161950435,37.9818981898,404.0219,37.9781,18181112.2039,1818.29304969,36.2784278428,1329.7252,36.2748,16196024.8496,1619.76446141,3.40604060406,52.5943,3.4057,866591.0751,86.6677742874,-0.00137208242472,0.961990791911,-0.00137194521647,0.40951523907,4.0955619469e-05,0.0,0.0,6548.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,10000.0,0.0,58.5287528753,1382.4771,58.5229,20827648.7559,2082.97317291,0.0283375639564,0.2915822698,0.0283347302,5.41979612303,0.000542033815685,1.6794679468,978.3207,1.6793,211130.5151,21.1151630263,56.8492849285,404.1564,56.8436,20749045.3904,2075.11205025,66.4691469147,1329.5375,66.4625,18640723.9375,1864.25881963,-7.9403940394,52.9396,-7.9396,876145.5184,87.6233141714,0.00702759816192,0.961744790927,0.0070268954021,0.412335970826,4.12377208547e-05,0.0,0.0,6446.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,10000.0,0.0,89.5110511051,1382.4979,89.5021,23394843.9559,2339.71836743,0.0393842571257,0.2914616813,0.0393803187,6.08575128117,0.000608635991716,6.62896289629,978.3717,6.6283,211941.3911,21.1962587359,82.8820882088,404.1262,82.8738,23304722.7356,2330.70534409,93.403940394,1329.6054,93.3946,20859458.9084,2086.15450629,-3.89288928893,52.8925,-3.8925,888825.4375,88.8914328933,0.00492869648552,0.961783752906,0.00492820361587,0.414129293778,4.14170710849e-05,0.0,0.0,6357.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
