t,counts,nextinct,delta_n,mean_n,delta2_n,M2_n,var_n,delta_h,mean_h,delta2_h,M2_h,var_h,delta_w,mean_w,delta2_w,M2_w,var_w,delta_m,mean_m,delta2_m,M2_m,var_m,delta_ns,mean_ns,delta2_ns,M2_ns,var_ns,delta_nf,mean_nf,delta2_nf,M2_nf,var_nf,delta_fs,mean_fs,delta2_fs,M2_fs,var_fs,cdf_h_0_1,cdf_h_0_2,cdf_h_0_3,cdf_h_0_4,cdf_h_0_5,cdf_h_0_6,cdf_h_0_7,cdf_h_0_8,cdf_h_0_9,p_h_fix_0,p_h_fix_1,cdf_fs_0_1,cdf_fs_0_2,cdf_fs_0_3,cdf_fs_0_4,cdf_fs_0_5,cdf_fs_0_6,cdf_fs_0_7,cdf_fs_0_8,cdf_fs_0_9,p_fs_fix_0,p_fs_fix_1
0.0,10000.0,0.0,0.0,501.0,0.0,0.0,0.0,0.0,0.562874,0.0,0.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,496.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.99001996008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10000.0,0.0,12.5626562656,501.4386,12.5614,1894800.3004,189.498979938,-0.0103759926993,0.5629039551,-0.0103749551,2.23028869826,0.000223051174944,10.8466846685,219.1544,10.8456,825055.6064,82.5138120212,1.71597159716,282.2842,1.7158,1288420.3036,128.854915852,12.0801080108,496.9211,12.0789,1881808.7479,188.199694759,0.482548254825,4.5175,0.4825,66216.9375,6.6223559856,-0.000727538627071,0.990999839414,-0.000727465873208,0.261076534345,2.61102644609e-05,0.0,0.0,0.0,0.0,0.0,9941.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0
20.0,10000.0,0.0,17.3370337034,501.6647,17.3353,3315854.7391,331.618635774,-0.00414252255226,0.5629091083,-0.0041421083,4.50704165856,0.00045074924078,9.82608260826,219.1749,9.8251,1337949.0999,133.808290819,7.51095109511,282.4898,7.5102,2743430.9596,274.370533013,20.9311931193,497.0709,20.9291,3269992.7319,327.031976388,-3.59415941594,4.5938,-3.5938,69798.0156,6.98049960996,0.00722013619609,0.990853803544,0.00721941418247,0.274005551609,2.74032954904e-05,0.0,0.0,0.0,0.0,14.0,9613.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0
30.0,10000.0,0.0,8.89118911891,502.1097,8.8903,4623672.6591,462.413507261,-0.0111721931193,0.5630300759,-0.0111710759,6.71102536705,0.00067116965367,9.80528052805,219.1957,9.8043,1653206.0151,165.337135224,-0.914091409139,282.914,-0.913999999999,4367170.04,436.760680068,9.4804480448,497.5205,9.4795,4544861.7975,454.531632913,-0.589258925893,4.5892,-0.5892,69636.4336,6.96433979398,0.00129956406621,0.99087277724,0.0012994341098,0.271910070233,2.7193726396e-05,0.0,0.0,0.0,0.0,92.0,9235.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0
40.0,10000.0,0.0,-13.3691369137,502.3678,-13.3678,6042059.2316,604.266349795,-0.0291634750475,0.5629025587,-0.0291605587,9.04750515264,0.000904840999364,8.77927792779,219.2216,8.7784,1852246.9344,185.243217762,-22.1484148415,283.1462,-22.1462,6279272.2556,627.990024562,-9.7601760176,497.7592,-9.7592,5915874.1536,591.646580018,-3.60896089609,4.6086,-3.6086,68230.0604,6.82368840884,0.00711285131973,0.99084287019,0.0071121400346,0.265093355136,2.65119867123e-05,0.0,0.0,0.0,0.0,191.0,8943.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0
50.0,10000.0,0.0,-3.92549254926,502.9251,-3.9251,7547704.8999,754.845974587,-0.0178673627363,0.562955576,-0.017865576,11.1928272503,0.0011193946645,7.73117311731,219.2696,7.7304,1944321.1584,194.451560996,-11.6566656666,283.6555,-11.6555,8286106.1975,828.693489099,-3.29642964296,498.2961,-3.2961,7371452.2479,737.218946685,-0.629062906291,4.629,-0.629,71887.59,7.18947794779,0.00116685085802,0.990817233763,0.00116673417293,0.277290550008,2.77318281836e-05,0.0,0.0,0.0,0.0,330.0,8683.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0
60.0,10000.0,0.0,-18.4540454045,503.4522,-18.4522,9334007.1516,933.494064566,-0.0331386115612,0.5630322977,-0.0331352977,13.6357638134,0.00136371275262,8.7295729573,219.2713,8.7287,2066960.9631,206.716767987,-27.1836183618,284.1809,-27.1809,10593347.7519,1059.44071926,-16.804080408,498.8024,-16.8024,9103701.5424,910.46120036,-1.6499649965,4.6498,-1.6498,68551.5996,6.85584554455,0.00302605486937,0.990788680726,0.00302575226388,0.262524251628,2.62550506678e-05,0.0,0.0,0.0,0.0,475.0,8467.0,9999.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0
70.0,10000.0,0.0,-3.21502150215,504.2147,-3.2147,11344710.0391,1134.58446236,-0.0182455189519,0.5631536944,-0.0182436944,15.9888002829,0.00159903993228,8.67176717672,219.3291,8.6709,2109521.9319,210.973290519,-11.8867886789,284.8856,-11.8856,13114821.1264,1311.61327397,-2.62366236624,499.6234,-2.6234,11091167.7244,1109.22769521,-0.591359135914,4.5913,-0.5913,72642.6431,7.26499080908,0.0010988830473,0.990917194905,0.00109877315899,0.277309329194,2.773370629e-05,0.0,0.0,0.0,0.0,607.0,8238.0,9999.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0
80.0,10000.0,0.0,-5.74047404741,504.7399,-5.7399,13538870.4799,1354.02245024,-0.0162067333733,0.5632991127,-0.0162051127,18.2411307617,0.00182429550572,6.73397339734,219.2667,6.7333,2132789.7111,213.30030114,-12.4744474447,285.4732,-12.4732,15698298.8176,1569.98688045,-4.14431443144,500.1439,-4.1439,13163679.9279,1316.49964275,-1.59615961596,4.596,-1.596,71767.84,7.17750175018,0.00305510709861,0.990933174364,0.0030548015879,0.269855997288,2.69882985586e-05,0.0,0.0,0.0,0.0,758.0,8093.0,9994.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0
90.0,10000.0,0.0,-28.496849685,505.494,-28.494,15957769.64,1595.93655766,-0.00989881268127,0.5633568228,-0.0098978228,20.4764686624,0.00204785165141,-6.3404340434,219.3398,-6.3398,2152697.3596,215.291265087,-22.1564156416,286.1542,-22.1542,18418838.2236,1842.06802916,-27.8478847885,500.8451,-27.8451,15516893.0599,1551.84449044,-0.64896489649,4.6489,-0.6489,71906.2879,7.19134792479,0.000768557450413,0.990845775171,0.000768480594668,0.268177165671,2.6820398607e-05,0.0,0.0,0.0,0.0,871.0,7930.0,9995.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0
