t,counts,nextinct,delta_n,mean_n,delta2_n,M2_n,var_n,delta_h,mean_h,delta2_h,M2_h,var_h,delta_w,mean_w,delta2_w,M2_w,var_w,delta_m,mean_m,delta2_m,M2_m,var_m,delta_ns,mean_ns,delta2_ns,M2_ns,var_ns,delta_nf,mean_nf,delta2_nf,M2_nf,var_nf,delta_fs,mean_fs,delta2_fs,M2_fs,var_fs,cdf_h_0_1,cdf_h_0_2,cdf_h_0_3,cdf_h_0_4,cdf_h_0_5,cdf_h_0_6,cdf_h_0_7,cdf_h_0_8,cdf_h_0_9,p_h_fix_0,p_h_fix_1,cdf_fs_0_1,cdf_fs_0_2,cdf_fs_0_3,cdf_fs_0_4,cdf_fs_0_5,cdf_fs_0_6,cdf_fs_0_7,cdf_fs_0_8,cdf_fs_0_9,p_fs_fix_0,p_fs_fix_1
0.0,10000.0,0.0,0.0,305.0,0.0,0.0,0.0,0.0,0.301639,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.937704918033,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10000.0,0.0,2.11291129113,304.8873,2.1127,1166895.9871,116.701268837,-0.00829041184119,0.3014495828,-0.0082895828,3.25038260673,0.00032507076775,4.03810381038,212.9623,4.0377,799512.7871,79.9592746375,-1.92519251925,91.925,-1.925,439949.75,43.9993749375,2.54835483548,286.4519,2.5481,1125390.8639,112.550341424,-0.435443544354,18.4354,-0.4354,272278.2684,27.230549895,0.0017416607477,0.939626591594,0.00174148658163,2.7671691318,0.000276744587638,0.0,0.0,4773.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0
20.0,10000.0,0.0,7.15461546155,304.8461,7.1539,1960236.1479,196.043219112,-0.0418501120112,0.301460927,-0.041845927,6.40733217743,0.000640797297473,18.1157115712,212.8861,18.1139,1292303.2679,129.243251115,-10.9610961096,91.96,-10.96,885700.0,88.5788578858,4.47574757476,286.5247,4.4753,1774575.8991,177.475337444,2.67886788679,18.3214,2.6786,278275.0204,27.8302850685,-0.00733076004806,0.940022334664,-0.00733002697205,2.76447481628,0.000276475129141,0.0,0.0,4813.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0
30.0,10000.0,0.0,3.3698369837,304.6305,3.3695,2560707.6975,256.096379388,-0.0479360288029,0.3011782352,-0.0479312352,9.55740420637,0.000955836004238,17.2463246325,212.7554,17.2446,1595967.7084,159.612732113,-13.8764876488,91.8751,-13.8751,1356666.9999,135.680268017,2.7504750475,286.2498,2.7502,2257643.9996,225.786978658,0.619361936194,18.3807,0.6193,286785.6751,28.6814356536,-0.00150130162673,0.939812839808,-0.00150115149657,2.80256613716,0.00028028464218,0.0,3.0,4895.0,9991.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0
40.0,10000.0,0.0,2.37543754375,304.6248,2.3752,3056554.2496,305.685993559,-0.033659959996,0.300757594,-0.033656594,12.6644930437,0.00126657596197,12.1926192619,212.8086,12.1914,1823947.6604,182.413007341,-9.81718171817,91.8162,-9.8162,1819944.1756,182.012618822,8.69126912691,286.3096,8.6904,2613589.4784,261.385086349,-6.31583158316,18.3152,-6.3152,293542.4896,29.3571846785,0.0208385332387,0.940075602732,0.0208364493854,2.80015892552,0.000280043896942,0.0,22.0,4968.0,9976.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0
50.0,10000.0,0.0,8.3704370437,304.6304,8.3696,3489411.9584,348.976093449,-0.0580733015302,0.3008794942,-0.0580674942,15.9466573948,0.00159482522201,24.3204320432,212.682,24.318,1941962.76,194.21569757,-15.9499949995,91.9484,-15.9484,2337639.3744,233.787316172,3.78217821782,286.2182,3.7818,2998209.8876,299.850973857,4.58825882588,18.4122,4.5878,300648.9116,30.0678979498,-0.0132421012128,0.939758348888,-0.0132407770027,2.86067852247,0.000286096461893,0.0,57.0,4962.0,9922.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0
60.0,10000.0,0.0,-3.66516651665,304.6648,-3.6648,3978356.4096,397.875428503,-0.0782591023102,0.3008422764,-0.0782512764,18.9453184727,0.0018947213194,21.3856385639,212.6165,21.3835,2032232.2775,203.243552105,-25.0508050805,92.0483,-25.0483,2860815.6711,286.110178128,-15.2695269527,286.268,-15.268,3326603.76,332.693645365,11.604360436,18.3968,11.6032,301747.4976,30.1777675368,-0.0395422596472,0.939870531335,-0.0395383054212,2.76434858099,0.000276462504349,0.0,97.0,4999.0,9878.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0
70.0,10000.0,0.0,-16.4229422942,304.4213,-16.4213,4375834.0631,437.627169027,-0.103000443344,0.3009071433,-0.1029901433,22.0802947814,0.00220825030317,18.6846684668,212.3172,18.6828,2053609.8416,205.381522312,-35.1076107611,92.1041,-35.1041,3399460.6319,339.980061196,-26.0910091009,286.0884,-26.0884,3696835.8544,369.720557496,9.66806680668,18.3329,9.6671,303412.7759,30.3443120212,-0.0372481033084,0.940022156276,-0.0372443784981,2.7914575352,0.000279173670887,0.0,144.0,4984.0,9805.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0
80.0,10000.0,0.0,-18.4718471847,304.47,-18.47,5007939.0,500.843984398,-0.0842385142514,0.3010130904,-0.0842300904,25.0177649768,0.00250202670035,11.8103810381,212.1908,11.8092,2083423.9536,208.363231683,-30.2822282228,92.2792,-30.2792,3993508.4736,399.390786439,-20.00450045,286.0025,-20.0025,4178974.9375,417.939287679,1.53265326533,18.4675,1.5325,316577.4375,31.660909841,-0.00956406006941,0.939633033733,-0.0095631036634,2.84040113346,0.000284068520198,0.0,198.0,4981.0,9744.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0
90.0,10000.0,0.0,-14.5068506851,304.5054,-14.5054,5531751.7084,553.230493889,-0.077189780378,0.3013200614,-0.0771820614,28.0805363459,0.00280833446804,12.9942994299,212.007,12.993,2130125.51,213.033854385,-27.501150115,92.4984,-27.4984,4558511.9744,455.896787119,-3.1501150115,286.1498,-3.1498,4601867.5996,460.232783238,-11.3567356736,18.3556,-11.3556,318199.4864,31.8231309531,0.0358349810661,0.940030671398,0.035831397568,2.81833102653,0.000281861288782,0.0,244.0,4974.0,9645.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0
