t,counts,nextinct,delta_n,mean_n,delta2_n,M2_n,var_n,delta_h,mean_h,delta2_h,M2_h,var_h,delta_w,mean_w,delta2_w,M2_w,var_w,delta_m,mean_m,delta2_m,M2_m,var_m,delta_ns,mean_ns,delta2_ns,M2_ns,var_ns,delta_nf,mean_nf,delta2_nf,M2_nf,var_nf,delta_fs,mean_fs,delta2_fs,M2_fs,var_fs,cdf_h_0_1,cdf_h_0_2,cdf_h_0_3,cdf_h_0_4,cdf_h_0_5,cdf_h_0_6,cdf_h_0_7,cdf_h_0_8,cdf_h_0_9,p_h_fix_0,p_h_fix_1,cdf_fs_0_1,cdf_fs_0_2,cdf_fs_0_3,cdf_fs_0_4,cdf_fs_0_5,cdf_fs_0_6,cdf_fs_0_7,cdf_fs_0_8,cdf_fs_0_9,p_fs_fix_0,p_fs_fix_1
0.0,9990.0,0.0,0.0,2340.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1638.0,0.0,0.0,0.0,0.0,702.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,2318.0,0.0,0.0,0.0,0.0,0.00940170940171,0.0,0.0,0.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
10.0,9990.0,0.0,1.50575633197,2340.49439439,1.50560560561,84475.1860861,8.45682111183,0.00016925538092,0.300001761562,0.00016923843844,0.00403362043604,4.03806230457e-07,0.658123936331,1638.34194194,0.658058058059,60625.9263263,6.06926882834,0.847632395637,702.152452452,0.847547547549,30926.8149149,3.0960871874,-2.75833416758,21.7580580581,-2.75805805806,216818.226326,21.7056989014,4.26409049954,2318.73633634,4.26366366366,302953.50991,30.3287125748,-0.00118377505808,0.00929638072946,-0.00118365656208,0.0395845772332,3.96281682182e-06,0.0,0.0,5201.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
20.0,9990.0,0.0,4.15386925619,2340.84654655,4.15345345346,142325.755856,14.2482486591,0.000217943638002,0.299995078178,0.000217921821822,0.00798855644994,7.99735353884e-07,2.39643607968,1638.6038038,2.39619619619,102383.855455,10.2496601717,1.75743317649,702.242742743,1.75725725726,61346.3488488,6.14139041434,6.23375713285,21.7668668669,6.23313313313,219406.032933,21.9647645343,-2.07988787666,2319.07967968,-2.07967967968,359958.574975,36.0354965437,0.00264183923508,0.00929872372076,0.0026415747867,0.0400407181391,4.00848114317e-06,0.0,0.0,5119.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
30.0,9990.0,0.0,2.87165882469,2341.12862863,2.87137137135,179007.712212,17.9204837534,-0.000509217238963,0.299997166266,-0.000509166266267,0.0119644036768,1.19775790137e-06,3.20432475724,1638.795996,3.20400400401,129858.23984,13.0001241205,-0.332665932526,702.332632633,-0.332632632632,91723.6617618,9.18246688975,-7.79357293022,21.7927927928,-7.79279279279,209719.081081,20.995002611,10.6652317549,2319.33583584,10.6641641642,380458.270771,38.087723573,-0.00333626225868,0.00930862454422,-0.00333592829849,0.0382518262076,3.82939495521e-06,0.0,0.0,5160.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
40.0,9990.0,0.0,1.60196215837,2341.3981982,1.60180180179,204329.967568,20.4554978043,5.64766242878e-05,0.299986529029,5.64709709721e-05,0.0158387558411,1.58561976585e-06,0.990889978982,1639.00920921,0.990790790796,150711.152753,15.0877117582,0.611072179397,702.388988989,0.611011011011,120744.388789,12.0877353878,5.24456902593,21.755955956,5.24404404404,219977.020621,22.0219261809,-3.64260686755,2319.64224224,-3.64224224224,431503.373774,43.1978550179,0.00223194548167,0.00929196551632,0.00223172206371,0.0401420373635,4.018624223e-06,0.0,0.0,5165.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
50.0,9990.0,0.0,2.39763740116,2341.6026026,2.39739739741,222330.332332,22.2575165014,-0.000926228050857,0.299987135335,-0.000926135335336,0.019739329899,1.97610670728e-06,3.85013514867,1639.15025025,3.84974974975,160797.474374,16.0974546375,-1.45249774752,702.452352352,-1.45235235235,152392.81972,15.256063642,-4.82971268395,21.8292292292,-4.82922922923,215256.665065,21.5493708144,7.22735008509,2319.77337337,7.22662662663,437530.917317,43.8012731322,-0.00207003079657,0.00932238331324,-0.00206982358628,0.0392645591841,3.93077977617e-06,0.0,0.0,5162.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
60.0,9990.0,0.0,2.26068675544,2341.73953954,2.26046046047,236450.281882,23.6710663612,-0.000496451496646,0.299984401802,-0.000496401801801,0.0235292698572,2.35551805558e-06,2.74832315548,1639.25195195,2.74804804805,169738.836937,16.9925755268,-0.487636400041,702.487587588,-0.487587587589,182505.960861,18.2706938493,8.21803984383,21.7827827828,8.21721721722,220128.638639,22.037104679,-5.95735308841,2319.95675676,-5.95675675677,461599.318919,46.210763732,0.00349693222701,0.00930205262854,0.00349658218375,0.0401556465675,4.01998664206e-06,0.0,0.0,5148.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
70.0,9990.0,0.0,-2.87055761337,2341.87027027,-2.87027027027,245627.87027,24.5898358465,-0.00156499229152,0.299982835636,-0.00156483563564,0.0270824158721,2.71122393354e-06,1.65361898088,1639.34654655,1.65345345346,174216.255856,17.4408104771,-4.52417659425,702.523723724,-4.52372372372,211205.877477,21.1438459783,1.29962959255,21.7005005005,1.2994994995,217401.897497,21.7641302931,-4.17018720592,2320.16976977,-4.16976976976,461054.07047,46.1561788438,0.000566983417547,0.00926633541536,0.00056692666245,0.0396415931874,3.96852469591e-06,0.0,0.0,5191.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
80.0,9990.0,0.0,-3.97056762438,2341.97017017,-3.97017017016,268299.110711,26.8594564732,-0.00143392561818,0.299979782082,-0.00143378208208,0.0310792832006,3.11135080595e-06,0.577134848328,1639.42292292,0.577077077072,184706.150651,18.4909551157,-4.54770247272,702.547247247,-4.54724724725,244847.199299,24.511682781,-9.78806687356,21.7870870871,-9.78708708709,211090.134234,21.1322589082,5.81749924917,2320.18308308,5.81691691692,474842.141041,47.5365042588,-0.0041707181779,0.00930289264753,-0.00417030068859,0.0384827789192,3.85251565914e-06,0.0,0.0,5172.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
90.0,9990.0,0.0,-11.0422464711,2342.04114114,-11.0411411411,282926.090991,28.3237652409,-0.00224835168686,0.299974126627,-0.00224812662663,0.0352815860268,3.53204385092e-06,-2.48533386725,1639.48508509,-2.48508508509,190181.277678,19.0390707456,-8.55691260386,702.556056056,-8.55605605605,279824.108609,28.0132254088,-0.810191210331,21.8101101101,-0.81011011011,213142.778879,21.3377494122,-10.2320552608,2320.23103103,-10.231031031,488542.78038,48.9080769227,-0.000303437537818,0.0093124161727,-0.00030340716369,0.0388502643912,3.88930467426e-06,0.0,0.0,5170.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
100.0,9990.0,0.0,-8.11272399639,2342.11191191,-8.11191191191,298780.882482,29.9109903376,-0.00219708619481,0.299968866266,-0.00219686626627,0.0390480609753,3.90910611426e-06,-0.546300931024,1639.54624625,-0.546246246246,195426.134234,19.5641339708,-7.56642306538,702.565665666,-7.56566566567,311886.423323,31.2229876187,2.21183301632,21.7883883884,2.21161161161,219396.653053,21.9638255134,-10.3245570127,2320.32352352,-10.3235235235,521068.371972,52.1642178368,0.000979916109364,0.00930295832995,0.000979818019664,0.0400036482925,4.00477007633e-06,0.0,0.0,5157.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
110.0,9990.0,0.0,-10.1637801582,2342.16276276,-10.1627627627,316137.347748,31.6485481778,-0.00364384903394,0.299955484284,-0.00364348428428,0.043079881749,4.3127321803e-06,1.38772649915,1639.61241241,1.38758758759,200771.260861,20.0992352449,-11.5515066573,702.55035035,-11.5503503504,346418.173774,34.6799653393,0.189308239063,21.8107107107,0.189289289289,209657.053954,20.9887930678,-10.3530883972,2320.35205205,-10.352052052,523100.832933,52.3676877498,0.000121735282966,0.0093122391669,0.000121723097252,0.0382206009111,3.826268987e-06,0.0,0.0,5183.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
120.0,9990.0,0.0,-13.1982180398,2342.1968969,-13.1968968969,325365.703804,32.5724000204,-0.00239971048153,0.29995247027,-0.00239947027027,0.0468553113127,4.69069089125e-06,-3.64300730804,1639.64264264,-3.64264264264,201872.234234,20.2094538226,-9.5552107318,702.554254254,-9.55425425425,378306.094194,37.8722689152,1.27470217239,21.7254254254,1.27457457457,214441.841942,21.4677987728,-14.4729202122,2320.47147147,-14.4714714715,539633.369369,54.0227619751,0.000599827718069,0.00927571536468,0.000599767675254,0.0390933624243,3.9136412478e-06,0.0,0.0,5173.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
130.0,9990.0,0.0,-6.23335669237,2342.23273273,-6.23273273274,339291.896396,33.9665528478,-0.00244327710482,0.299960032533,-0.00244303253253,0.0505916604104,5.06473725202e-06,1.35088597458,1639.64924925,1.35075075076,204894.969369,20.5120602032,-7.58424266693,702.583483483,-7.58348348348,410469.874775,41.0921888853,2.23936329963,21.7608608609,2.23913913914,220483.696597,22.0726495742,-8.47271999199,2320.47187187,-8.47187187187,559775.595996,56.0392027226,0.000983365036541,0.00929070600114,0.000983266601603,0.0401966929854,4.02409580392e-06,0.0,0.0,5145.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
140.0,9990.0,0.0,-8.25698268096,2342.25615616,-8.25615615617,356675.496396,35.7068271495,-0.00132965982581,0.299958526727,-0.00132952672673,0.0543250943724,5.43849177819e-06,-2.66873560917,1639.66846847,-2.66846846847,210201.967568,21.0433444356,-5.58824707178,702.587687688,-5.58768768769,442686.685586,44.317417718,-0.743617979778,21.7435435435,-0.743543543544,215714.958559,21.5952506316,-7.51336470117,2320.51261261,-7.51261261261,575827.910811,57.6462019032,-0.000285853187218,0.0092832538792,-0.000285824573286,0.0393382725152,3.93815922667e-06,0.0,0.0,5162.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
150.0,9990.0,0.0,-5.29172089297,2342.29119119,-5.29119119118,372873.924825,37.3284537816,-0.00171846521173,0.299964293193,-0.00171829319319,0.0576969885802,5.77605251579e-06,0.32125337872,1639.67877878,0.321221221224,213270.201101,21.3505056663,-5.6129742717,702.612412412,-5.61241241241,472715.260861,47.3235820263,-4.76303934328,21.7625625626,-4.76256256256,213812.798398,21.4048251475,-0.528681549697,2320.52862863,-0.528628628621,584549.312212,58.5193024539,-0.0020171052216,0.00929118657831,-0.00201690330917,0.0389769591518,3.90198810209e-06,0.0,0.0,5206.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
160.0,9990.0,0.0,-6.34768245069,2342.34704705,-6.34704704705,386597.787888,38.7023513753,-0.00158030063069,0.299953142442,-0.00158014244244,0.0617286775603,6.17966538796e-06,-0.743217539297,1639.74314314,-0.743143143147,214588.905305,21.482521304,-5.6044649114,702.603903904,-5.6039039039,507859.647748,50.8418908547,-4.83351686856,21.833033033,-4.83303303303,212791.499099,21.3025827509,-1.51416558213,2320.51401401,-1.514014014,595211.538038,59.5866991729,-0.00204384190655,0.00932103457805,-0.00204363731778,0.0387858198892,3.88285312736e-06,0.0,0.0,5151.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
170.0,9990.0,0.0,-6.31624787267,2342.31561562,-6.31561561562,398831.863964,39.9271062132,-0.00244397557313,0.299960730931,-0.00244373093093,0.0657275905467,6.57999705143e-06,1.29742716989,1639.7027027,1.2972972973,220397.027027,22.0639730731,-7.61367504255,702.612912913,-7.61291291291,540386.134234,54.0981213569,1.22514766243,21.774974975,1.22502502502,219910.143744,22.0152311286,-7.54139553509,2320.54064064,-7.54064064064,624902.9999,62.5591150165,0.000549476115504,0.00929646929807,0.00054942111289,0.040096987881,4.01411431385e-06,0.0,0.0,5137.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
180.0,9990.0,0.0,-5.30753829212,2342.30700701,-5.307007007,413337.409509,41.3792581349,-0.00257128961858,0.299961032232,-0.00257103223223,0.0699628108896,7.00398547298e-06,2.30513564922,1639.6950951,2.30490490491,222631.25966,22.2876423726,-7.61267394134,702.611911912,-7.61191191191,576978.382482,57.7613757616,-0.776153769146,21.7760760761,-0.776076076076,217294.082182,21.7533368888,-4.53138452298,2320.53093093,-4.53093093093,627035.942342,62.7726441428,-0.000311039113235,0.00929688731067,-0.000311007978188,0.0396062922586,3.96499071564e-06,0.0,0.0,5138.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
190.0,9990.0,0.0,0.668935829406,2342.33113113,0.668868868862,431172.618218,43.1647430392,-0.00291530483532,0.299970013013,-0.00291501301301,0.0733345477643,7.34153045994e-06,7.31044148563,1639.69029029,7.30970970971,228251.758158,22.8503111581,-6.64150565622,702.640840841,-6.64084084084,606361.336937,60.7029068913,6.2046250876,21.795995996,6.204004004,216332.23984,21.6570467354,-5.53568925819,2320.53513514,-5.53513513514,648061.167568,64.8774819869,0.00264541931713,0.00930533631334,0.00264515451039,0.0394412274597,3.94846605864e-06,0.0,0.0,5132.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
200.0,9990.0,0.0,-1.3880268295,2342.38788789,-1.38788788788,447895.934434,44.8389162513,-0.00224528020823,0.299981055455,-0.00224505545545,0.0768454708493,7.69300939526e-06,4.29702672941,1639.7034034,4.2965965966,230844.184284,23.1098392516,-5.68505355891,702.684484484,-5.68448448448,637781.495095,63.8483827305,-3.77415156672,21.7737737738,-3.77377377377,215228.728729,21.5465741044,2.38612473722,2320.61411411,2.38588588589,643755.40991,64.4464320663,-0.00160658417728,0.0092954451436,-0.00160642335804,0.0392005054388,3.92436734797e-06,0.0,0.0,5085.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
210.0,9990.0,0.0,-1.42576834518,2342.42562563,-1.42562562563,465674.23984,46.618704559,-0.00225317879668,0.299988953253,-0.00225295325325,0.0808469057172,8.09359352459e-06,4.2899189108,1639.71051051,4.28948948949,235384.796396,23.5644004802,-5.71568725598,702.715115115,-5.71511511511,672533.217618,67.3273818818,4.22094303734,21.7794794795,4.22052052052,214759.193293,21.4995688551,-5.64671138251,2320.64614615,-5.64614614613,676208.126627,67.6952774679,0.00180867331977,0.00929787252998,0.00180849227139,0.0391398238431,3.91829250607e-06,0.0,0.0,5098.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
220.0,9990.0,0.0,2.58974872358,2342.41051051,2.58948948948,489289.496396,48.9828307535,-0.00189998528381,0.299980795095,-0.00189979509509,0.0849035730256,8.49970698023e-06,6.28251076184,1639.71811812,6.28188188188,239190.220621,23.9453619602,-3.69276203824,702.692392392,-3.69239239239,709781.721822,71.0563341497,-2.80838922815,21.8081081081,-2.80810810811,219781.143243,22.0023168729,5.39813795175,2320.6024024,5.3975975976,710806.742342,71.1589490782,-0.00120798791373,0.00931021240979,-0.00120786699401,0.0400708183784,4.01149448177e-06,0.0,0.0,5058.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
230.0,9990.0,0.0,2.61747922715,2342.38278278,2.61721721722,499266.238639,49.9816036279,-0.00190666393032,0.299987473073,-0.00190647307307,0.0889532106423,8.90511669259e-06,6.31835018521,1639.68228228,6.31771771772,240603.563964,24.0868519335,-3.70087095806,702.700500501,-3.7005005005,743917.897497,74.4737108317,6.21723896286,21.7833833834,6.21661661662,218003.241642,21.8243309282,-3.5997597357,2320.5993994,-3.59939939939,716388.796396,71.7177691857,0.00264081774824,0.00929974510534,0.00264055340212,0.0397441685816,3.97879353104e-06,0.0,0.0,5081.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
240.0,9990.0,0.0,5.61918109919,2342.38138138,5.6186186186,515006.936937,51.5574068412,-0.00144047392131,0.29999232973,-0.00144032972973,0.0929014032219,9.30037072999e-06,7.33156472119,1639.66916917,7.33083083083,244879.604104,24.5149268299,-1.71238362198,702.712212212,-1.71221221221,777735.61011,77.8592061378,-8.73340674742,21.7325325325,-8.73253253253,213991.326927,21.4226976601,14.3525878466,2320.64884885,14.3511511511,738748.161762,73.9561679609,-0.00374188930713,0.00927814166016,-0.00374151474363,0.0390286252158,3.90716039801e-06,0.0,0.0,5089.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
