t,counts,nextinct,delta_n,mean_n,delta2_n,M2_n,var_n,delta_h,mean_h,delta2_h,M2_h,var_h,delta_w,mean_w,delta2_w,M2_w,var_w,delta_m,mean_m,delta2_m,M2_m,var_m,delta_ns,mean_ns,delta2_ns,M2_ns,var_ns,delta_nf,mean_nf,delta2_nf,M2_nf,var_nf,delta_fs,mean_fs,delta2_fs,M2_fs,var_fs,cdf_h_0_1,cdf_h_0_2,cdf_h_0_3,cdf_h_0_4,cdf_h_0_5,cdf_h_0_6,cdf_h_0_7,cdf_h_0_8,cdf_h_0_9,p_h_fix_0,p_h_fix_1,cdf_fs_0_1,cdf_fs_0_2,cdf_fs_0_3,cdf_fs_0_4,cdf_fs_0_5,cdf_fs_0_6,cdf_fs_0_7,cdf_fs_0_8,cdf_fs_0_9,p_fs_fix_0,p_fs_fix_1
0.0,10000.0,0.0,0.0,1426.0,0.0,0.0,0.0,0.0,0.298738,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,426.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,1309.0,0.0,0.0,0.0,0.0,0.0820476858345,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
10.0,10000.0,0.0,0.673367336738,1426.3267,0.673300000004,2872541.6711,287.2828954,0.000629497749776,0.2985995652,0.000629434800001,0.696007778235,6.96077385974e-05,-0.28492849285,1000.2849,-0.284900000001,2851.3199,0.285160506051,0.958295829582,426.0418,0.958199999999,2873538.5276,287.382591019,-2.20752075207,117.2073,-2.2073,1215943.2671,121.606487359,2.88088808881,1309.1194,2.8806,3982111.4364,398.250968737,-0.00159473556484,0.0821832236035,-0.00159457609128,0.603290150377,6.03350485425e-05,0.0,0.0,5687.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,9874.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
20.0,10000.0,0.0,-20.0502050205,1426.0482,-20.0482,5572552.7676,557.311007861,-0.0096096889689,0.298370728,-0.009608728,1.34771713501,0.000134785192021,-0.283328332837,1000.2833,-0.283300000003,2796.4111,0.279669076908,-19.7668766877,425.7649,-19.7649,5567928.2799,556.848512841,-6.87338733873,116.8727,-6.8727,1244294.9471,124.441938904,-13.1768176818,1309.1755,-13.1755,6612572.9975,661.323432093,-0.00373730520209,0.0819730623393,-0.00373693147157,0.622411331492,6.2247357885e-05,0.0,0.0,5571.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,9888.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
30.0,10000.0,0.0,-18.9331933193,1425.9313,-18.9313,8411227.8031,841.206901,-0.00965666576658,0.2982127001,-0.0096557001,2.03043899112,0.000203064205533,0.712571257126,1000.2875,0.7125,2920.4375,0.292072957296,-19.6457645765,425.6438,-19.6438,8403651.2156,840.449166477,-11.8313831383,116.8302,-11.8302,1221085.6796,122.120780038,-7.10181018102,1309.1011,-7.1011,9379242.7879,938.018080598,-0.00733409166427,0.0819602239267,-0.00733335825511,0.618045068135,6.18106878822e-05,0.0,0.0,5505.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,9874.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
40.0,10000.0,0.0,5.16651665166,1425.834,5.166,11221750.44,1122.28727273,0.00311542164216,0.2980728899,0.0031151101,2.70910759505,0.000270937853291,-0.280628062807,1000.2806,-0.280600000001,2838.6364,0.283892029203,5.44714471447,425.5534,5.4466,11216991.4844,1121.81132957,17.101310131,116.9004,17.0996,1224026.7984,122.414921332,-11.9347934793,1308.9336,-11.9336,12056825.9104,1205.80317136,0.0116190412699,0.0820229312561,0.0116178793658,0.623054092133,6.23116403773e-05,0.0,0.0,5471.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,9870.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
50.0,10000.0,0.0,5.31913191319,1425.6814,5.3186,14113778.9404,1411.51904594,0.00259557365737,0.2978936859,0.0025953141,3.40297575484,0.000340331608645,0.712571257127,1000.2875,0.712500000002,2952.4375,0.295273277328,4.60656065607,425.3939,4.6061,14107299.4279,1410.87102989,-5.9702970297,116.9697,-5.9697,1260499.8191,126.062588169,11.2894289429,1308.7117,11.2883,14857415.8311,1485.89017213,-0.00452118860329,0.0820888706563,-0.00452073648443,0.647217950044,6.47282678312e-05,0.0,0.0,5493.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,9838.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
60.0,10000.0,0.0,-0.635663566356,1425.6356,-0.635599999999,16861478.1264,1686.31644428,0.000470538853886,0.2977755082,0.0004704918,4.06443098902,0.000406483747277,-0.289228922893,1000.2892,-0.289200000001,2887.6336,0.288792239224,-0.346434643464,425.3464,-0.3464,16856766.0704,1685.84519156,3.96949694969,117.0309,3.9691,1214921.4519,121.50429562,-4.60516051606,1308.6047,-4.60470000001,17665362.3791,1766.7129092,0.00276437663833,0.0821481805011,0.00276410020066,0.638628253693,6.38692122906e-05,0.0,0.0,5434.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,9846.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
70.0,10000.0,0.0,13.5881588159,1425.4132,13.5868,19324258.6576,1932.61912767,0.00748575877588,0.2975879898,0.0074850102,4.66118623086,0.00046616523961,-0.279327932795,1000.2793,-0.279300000001,2768.9151,0.27691920192,13.8674867487,425.1339,13.8661,19320539.7079,1932.24719551,-3.11811181118,117.1178,-3.1178,1225963.2316,122.608584018,16.7062706271,1308.2954,16.7046,20259151.3884,2026.11775062,-0.00301363047038,0.0822350108308,-0.00301332910733,0.657502030106,6.57567786884e-05,0.0,0.0,5481.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,9851.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
80.0,10000.0,0.0,-5.51725172517,1425.5167,-5.5167,22098233.2111,2210.04432554,-0.00176448914892,0.2975393127,-0.0017643127,5.32516357794,0.000532569614755,-0.285928592857,1000.2859,-0.285899999998,2817.6119,0.281789368937,-5.23132313231,425.2308,-5.2308,22097155.3136,2209.93652501,-6.89518951895,116.8945,-6.8945,1267579.6975,126.770646815,1.37793779378,1308.6222,1.3778,22788838.6716,2279.11177834,-0.00461184229344,0.0820761698416,-0.00461138110921,0.675444317358,6.75511868544e-05,0.0,0.0,5454.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,9848.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
90.0,10000.0,0.0,-20.1262126213,1425.1242,-20.1242,25076233.7436,2507.87416178,-0.00899107560756,0.2972461765,-0.0089901765,6.04761178716,0.000604821660882,-0.281628162817,1000.2816,-0.281600000001,2835.0144,0.283529792979,-19.8445844584,424.8426,-19.8426,25071060.2524,2507.35676092,-6.70507050705,116.7044,-6.7044,1240890.2064,124.101430783,-13.4211421142,1308.4198,-13.4198,25694601.6796,2569.71713967,-0.00368458318003,0.0819760296683,-0.00368421472171,0.670092372316,6.70159388255e-05,0.0,0.0,5493.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,9847.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
