t,counts,nextinct,delta_n,mean_n,delta2_n,M2_n,var_n,delta_h,mean_h,delta2_h,M2_h,var_h,delta_w,mean_w,delta2_w,M2_w,var_w,delta_m,mean_m,delta2_m,M2_m,var_m,delta_ns,mean_ns,delta2_ns,M2_ns,var_ns,delta_nf,mean_nf,delta2_nf,M2_nf,var_nf,delta_fs,mean_fs,delta2_fs,M2_fs,var_fs,cdf_h_0_1,cdf_h_0_2,cdf_h_0_3,cdf_h_0_4,cdf_h_0_5,cdf_h_0_6,cdf_h_0_7,cdf_h_0_8,cdf_h_0_9,p_h_fix_0,p_h_fix_1,cdf_fs_0_1,cdf_fs_0_2,cdf_fs_0_3,cdf_fs_0_4,cdf_fs_0_5,cdf_fs_0_6,cdf_fs_0_7,cdf_fs_0_8,cdf_fs_0_9,p_fs_fix_0,p_fs_fix_1
0.0,10000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
50.0,10000.0,0.0,1.0574057405725625,999.9427000000015,1.0572999999984631,454246.1670999991,45.429159625962505,0.003714986998700043,0.29998138449999984,0.0037146155000001846,0.16305399495059805,1.6307030198079614e-05,-2.9787978797867254,699.9784999999988,-2.978499999998803,385412.3775000017,38.545092259226095,4.0362036203626985,299.9641999999993,4.035800000000677,204059.1835999994,20.40795915591553,-0.6849684968495353,33.68489999999985,-0.6848999999998497,327508.1199000001,32.754087398739884,1.7423742374252242,966.2577999999985,1.7422000000015032,778465.3916000015,77.85432459245939,-0.0007212326370002256,0.03368819348076949,-0.000721160513736524,0.32786182879612974,3.2789461825795556e-05,0.0,0.0,5122.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
100.0,10000.0,0.0,-13.867586758674634,999.8661999999988,-13.866199999998798,602310.9756000034,60.23712127212755,0.009385470047004463,0.29994646850000023,0.009384531499999738,0.3223865649960801,3.2241880687676775e-05,-18.962396239630266,699.9605000000063,-18.960500000006277,626207.3975000005,62.62700245024508,5.094809480947163,299.90570000000093,5.094299999999066,372624.07510000165,37.266134123412506,0.21842184218427718,33.78159999999994,0.21840000000005944,331209.01439999975,33.12421386138612,-14.086008600858463,966.0845999999984,-14.084599999998431,934782.4283999992,93.48759159915983,0.0006946001857947234,0.03378822789491351,0.0006945307257761463,0.33214624346730415,3.321794614134455e-05,0.0,0.0,5054.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
150.0,10000.0,0.0,-8.939393939395472,999.9385000000016,-8.938500000001568,647329.1774999999,64.7393916891689,0.008811641064106313,0.29996824010000006,0.00881075989999991,0.49099437124851897,4.910434755960786e-05,-14.99059905990373,699.9890999999977,-14.989099999997734,813581.8119000017,81.36631782178235,6.05120512051019,299.94940000000184,6.0505999999981555,546592.3963999974,54.6647061106108,-4.628762876287517,33.62829999999989,-4.628299999999889,335479.39110000076,33.55129423942402,-4.310631063106257,966.3101999999999,-4.310199999999895,983713.7596000015,98.38121408140829,-0.004369654947022059,0.03363258831452433,-0.004369217981527354,0.33638019698263005,3.364138383664667e-05,0.0,0.0,5091.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
200.0,10000.0,0.0,2.0946094609438433,999.9056000000022,2.0943999999977905,647092.8863999933,64.71576021602094,0.004498810981097778,0.2998926389000003,0.0044983610999996815,0.6558312203550645,6.55896810036068e-05,-3.0418041804178984,700.0414999999998,-3.0414999999998145,975877.7774999978,97.59753750375015,5.136413641364527,299.8640999999996,5.13590000000039,712334.3119000024,71.24055524552479,-2.5858585858586096,33.58560000000002,-2.5856000000000208,322078.7264000003,32.21109374937497,4.680468046804776,966.3199999999999,4.680000000000064,955947.9999999992,95.60436043604352,-0.0026524223304925237,0.03359028084075448,-0.0026521570882594714,0.32239613510172926,3.2242837793952323e-05,0.0,0.0,5098.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
250.0,10000.0,0.0,13.23482348234927,999.7664999999989,13.233500000001072,652339.7775000028,65.2405018001803,0.0012009416941696216,0.29988517839999984,0.0012008216000001792,0.825745820789736,8.258284036300991e-05,8.049404940491172,699.9514000000029,8.048599999997123,1146154.3803999966,114.62690073007268,5.185418541855199,299.815099999999,5.184900000000994,883927.1199000002,88.40155214521454,3.219521952195251,33.78079999999997,3.219200000000029,330767.5136000004,33.080059365936634,10.015301530153238,965.9856999999997,10.014300000000276,980008.9551000013,98.0106965796581,0.002734712218604385,0.033790734006812935,0.0027344387473825227,0.33151466041873645,3.315478152002565e-05,0.0,0.0,5143.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
300.0,10000.0,0.0,4.0994099409940645,999.9010000000001,4.098999999999933,652595.9900000008,65.26612561256134,0.004937795179518034,0.2998436985999999,0.004937301400000094,0.9983794382215816,9.984792861501966e-05,-2.086908690870928,700.0867000000019,-2.0867000000018834,1314249.831100002,131.43812692269248,6.186318631863969,299.8142999999992,6.185700000000793,1058516.1550999996,105.86220173017298,0.20752075207525422,33.792499999999954,0.20750000000004576,318382.4374999995,31.841427892789227,3.8918891889212546,966.1084999999977,3.8915000000023383,972509.2774999983,97.26065381538137,6.640666974418868e-05,0.033798141803592106,6.640002907721404e-05,0.3192543992107379,3.192863278435222e-05,0.0,0.0,5128.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
350.0,10000.0,0.0,14.210921092109857,999.7904999999994,14.209500000000617,660390.097500002,66.04561431143135,0.004823269826982057,0.29991121250000063,0.00482278749999937,1.1874387457134372,0.00011875575014635836,5.058905890590836,699.9415999999982,5.058400000001825,1503145.8943999992,150.32962240224015,9.15201520151976,299.8489000000004,9.151099999999587,1249118.6878999951,124.92436122612213,-9.711771177117825,33.71080000000011,-9.710800000000113,326441.6336000001,32.647428102810295,23.92269226922633,966.0797000000006,23.92029999999943,989883.479100002,98.99824773477367,-0.010052616660037265,0.033720250451625695,-0.010051611398371258,0.3273859747838563,3.274187166555218e-05,0.0,0.0,5080.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
400.0,10000.0,0.0,8.150315031500668,999.8505000000025,8.149499999997488,663017.4975000019,66.308380588059,0.005692892189219534,0.2998636770999994,0.0056923229000006015,1.3505434147503603,0.000135067848259862,-0.030703070309527902,700.0307000000025,-0.030700000002525485,1662167.5750999982,166.23338084808464,8.181018101811333,299.81979999999885,8.18020000000115,1415751.2796000072,141.5892868886896,2.281528152815021,33.71870000000026,2.2812999999997388,322001.7030999991,32.203390649064815,5.868786878688638,966.1317999999992,5.8682000000007974,978128.2876000011,97.82261102110222,0.001988839562138328,0.0337256450361036,0.0019886406781821145,0.32272497002246864,3.227572457470433e-05,0.0,0.0,5099.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
450.0,10000.0,0.0,1.1792179217942476,999.8208999999979,1.1791000000021086,658264.2318999998,65.83300649064904,0.0008583408340848697,0.2998407449999985,0.0008582550000014733,1.526142957569744,0.0001526295587128457,-0.03380338033650787,700.0337999999985,-0.0337999999984504,1847754.5756000027,184.79393695369563,1.2130213021297322,299.78710000000046,1.2128999999995358,1584907.7358999967,158.50662425242493,-0.6324632463247326,33.6324000000001,-0.6324000000001035,327110.70240000077,32.71434167416749,1.8116811681184117,966.1884999999984,1.8115000000016153,989301.6774999946,98.94006175617508,-0.0006738893531073945,0.03364085493120505,-0.0006738219641720805,0.32820804110258894,3.2824086518910786e-05,0.0,0.0,5084.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
