t,counts,nextinct,delta_n,mean_n,delta2_n,M2_n,var_n,delta_h,mean_h,delta2_h,M2_h,var_h,delta_w,mean_w,delta2_w,M2_w,var_w,delta_m,mean_m,delta2_m,M2_m,var_m,delta_ns,mean_ns,delta2_ns,M2_ns,var_ns,delta_nf,mean_nf,delta2_nf,M2_nf,var_nf,delta_fs,mean_fs,delta2_fs,M2_fs,var_fs,cdf_h_0_1,cdf_h_0_2,cdf_h_0_3,cdf_h_0_4,cdf_h_0_5,cdf_h_0_6,cdf_h_0_7,cdf_h_0_8,cdf_h_0_9,p_h_fix_0,p_h_fix_1,cdf_fs_0_1,cdf_fs_0_2,cdf_fs_0_3,cdf_fs_0_4,cdf_fs_0_5,cdf_fs_0_6,cdf_fs_0_7,cdf_fs_0_8,cdf_fs_0_9,p_fs_fix_0,p_fs_fix_1
0.0,10000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
50.0,10000.0,0.0,0.06830683068073995,999.9317000000024,0.06829999999763459,450130.3510999966,45.017536863686026,0.002984635363537269,0.30001566309999905,0.002984336900000939,0.16275102500598396,1.627673017361576e-05,-2.9366936693659227,699.936399999999,-2.9363999999990256,381229.55040000303,38.12676771677198,3.0050005000510964,299.9952999999989,3.004700000001094,204034.77909999897,20.405518461846082,6.296429642964121,33.70420000000018,6.295799999999822,326115.02359999873,32.61476383638351,-6.228122812282777,966.2275000000016,-6.227500000001555,791437.4375,79.15165891589159,0.0062918481411823185,0.0337087810436318,0.006291218956368201,0.3272548465520622,3.2728757530959316e-05,0.0,0.0,4995.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
100.0,10000.0,0.0,-1.0097009700971284,1000.0096000000001,-1.0096000000000913,598147.0783999977,59.820689908990666,0.003222310131012207,0.30008101210000093,0.0032219878999991125,0.32214002614553217,3.2217224336986914e-05,-3.9267926792691696,699.9264000000012,-3.9264000000011947,624459.8304000024,62.45222826282652,2.9170917091714728,300.08319999999947,2.916800000000535,371716.7776000015,37.1753952995301,7.321732173217299,33.67900000000002,7.320999999999977,326117.59000000125,32.61502050205033,-8.331433143311642,966.3305999999973,-8.330599999997276,925809.0364000008,92.5901626562657,0.007361008199770938,0.03368076894209008,0.00736027209895096,0.3267387964173564,3.267714735647129e-05,0.0,0.0,5038.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
150.0,10000.0,0.0,-7.879187918791899,999.8784,-7.878400000000056,646886.134399997,64.69508294829453,0.00740345804580389,0.3000572823000007,0.007402717699999284,0.48631527832606697,4.863639147175387e-05,-12.85928592858977,699.8579999999969,-12.857999999996878,808240.3599999972,80.83211921192091,4.980098009800372,300.0204000000006,4.97959999999938,541851.8384000004,54.19060290029007,-7.710271027102635,33.70949999999993,-7.709499999999927,320887.0975000007,32.09191894189426,-0.16891689168733137,966.1688999999982,-0.16889999999818883,961985.7278999968,96.20819360936062,-0.0075065768569607845,0.033715503618629926,-0.007505826199275086,0.32146346881396076,3.214956183757984e-05,0.0,0.0,4992.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
200.0,10000.0,0.0,-3.9554955495545983,999.9550999999997,-3.9550999999996748,649446.8399000005,64.95117910791085,0.0011174086408655137,0.30008770309999855,0.001117296900001452,0.6572679628835075,6.573336962531328e-05,-3.8811881188095185,699.8807999999976,-3.8807999999976346,974221.9135999939,97.43193455345474,-0.07430743074422708,300.07430000000113,-0.07430000000113068,715981.7951000024,71.60534004400465,3.30753075307517,33.69280000000014,3.3071999999998596,336366.28160000127,33.63999215921605,-7.26302630262785,966.2622999999976,-7.262299999997595,980046.9870999929,98.01450016001529,0.0034527225337236747,0.033696217116039734,0.0034523772614703033,0.3370360644410514,3.370697714181932e-05,0.0,0.0,4995.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
250.0,10000.0,0.0,2.008800880088529,999.9913999999994,2.0086000000005697,661609.2604000012,66.16754279427954,0.003306284728473219,0.30008704589999957,0.0033059541000003967,0.8221070167319319,8.221892356554974e-05,-1.907690769077135,699.9075000000003,-1.9075000000002547,1153963.4375000037,115.40788453845421,3.916491649164186,300.0839000000007,3.9160999999992896,878034.6078999931,87.81224201420073,-5.644664466446706,33.64410000000006,-5.6441000000000585,323958.35189999896,32.399075097509645,7.653465346535086,966.3472999999996,7.652700000000436,980196.8271000026,98.02948565856612,-0.005702804769685748,0.03364634626565589,-0.005702234489208782,0.3245822200883011,3.246146815564568e-05,0.0,0.0,5029.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
300.0,10000.0,0.0,0.2104210421038033,999.7896000000004,0.2103999999995949,670071.3184000016,67.0138332233225,0.007979697269727748,0.3000211006999992,0.007978899300000786,0.9905675994015899,9.906666660681967e-05,-7.832083208323297,699.8313000000024,-7.831300000002443,1313342.403099997,131.34737504750444,8.042504250424997,299.95830000000007,8.041699999999935,1052181.611099995,105.22868397839734,-11.749774977497935,33.74860000000019,-11.748600000000188,327165.9803999996,32.719870027002656,11.960196019602108,966.0409999999998,11.959000000000174,998307.1900000013,99.84070307030717,-0.011759199268496875,0.033758023348570025,-0.011758023348570026,0.3281640389564189,3.281968586422831e-05,0.0,0.0,5022.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
350.0,10000.0,0.0,5.259125912590662,999.7414000000006,5.258599999999433,661739.2603999987,66.18054409440931,0.006416579357936214,0.30005206229999953,0.006415937700000429,1.1473967613781844,0.00011475115125294374,-2.7663766376658714,699.7661000000021,-2.7661000000020977,1459491.9078999988,145.96378716871675,8.025502550254942,299.97530000000006,8.024699999999939,1211034.8990999965,121.11560147014667,16.300930093009228,33.700700000000076,16.299299999999924,333101.1950999999,33.3134508550855,-11.041804180416193,966.0406999999982,-11.040699999998196,996540.4351000033,99.66400991099142,0.01604111635398251,0.033711731538747416,0.016039512242347113,0.3342676936822276,3.343011237946071e-05,0.0,0.0,5009.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
400.0,10000.0,0.0,-1.8862886288636673,999.8861000000007,-1.886100000000738,655671.2678999973,65.57368415841557,0.00046380408040835874,0.30013724229999966,0.00046375770000034455,1.3060237785819055,0.00013061543940213078,-1.7803780378046667,699.7802000000008,-1.780200000000832,1586444.8795999973,158.66035399539928,-0.10591059105843215,300.10589999999934,-0.10589999999933752,1380792.8519,138.09309449944993,-11.694869486948619,33.69369999999992,-11.693699999999922,322784.80310000054,32.28170848084814,9.808580858085406,966.1924000000004,9.807599999999638,975259.8223999958,97.53573581358093,-0.011656668595552394,0.03369959110504554,-0.011655502928692836,0.32356572647306286,3.2359808628169103e-05,0.0,0.0,5011.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
450.0,10000.0,0.0,7.067506750674397,999.9332000000006,7.066799999999375,666173.3776,66.624000160016,0.0037267350735067373,0.3001466376000006,0.0037263623999994056,1.4904047607566666,0.00014905538161382804,1.193819381939079,699.8062999999992,1.193700000000831,1811507.8030999997,181.16889719971994,5.873687368736455,300.12690000000043,5.8730999999995674,1551051.9638999992,155.120708460846,2.2454245424542876,33.75479999999996,2.2452000000000396,326206.7695999997,32.62393935393536,4.822082208218831,966.178400000002,4.821599999998057,991999.7343999997,99.20989442944291,0.0019906637311846373,0.03375928707302364,0.0019904646648115157,0.3270635371383673,3.270962467630436e-05,0.0,0.0,5019.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
