t,counts,nextinct,delta_n,mean_n,delta2_n,M2_n,var_n,delta_h,mean_h,delta2_h,M2_h,var_h,delta_w,mean_w,delta2_w,M2_w,var_w,delta_m,mean_m,delta2_m,M2_m,var_m,delta_ns,mean_ns,delta2_ns,M2_ns,var_ns,delta_nf,mean_nf,delta2_nf,M2_nf,var_nf,delta_fs,mean_fs,delta2_fs,M2_fs,var_fs,cdf_h_0_1,cdf_h_0_2,cdf_h_0_3,cdf_h_0_4,cdf_h_0_5,cdf_h_0_6,cdf_h_0_7,cdf_h_0_8,cdf_h_0_9,p_h_fix_0,p_h_fix_1,cdf_fs_0_1,cdf_fs_0_2,cdf_fs_0_3,cdf_fs_0_4,cdf_fs_0_5,cdf_fs_0_6,cdf_fs_0_7,cdf_fs_0_8,cdf_fs_0_9,p_fs_fix_0,p_fs_fix_1
0.0,10000.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.345654,0.0,0.0,0.0,0.0,655.0,0.0,0.0,0.0,0.0,346.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,992.0,0.0,0.0,0.0,0.0,0.008991008991008992,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
10.0,10000.0,0.0,-1.900090009002838,1000.8999000000019,-1.899900000001935,34982.7999000004,3.4986298529853386,0.0016987548754884285,0.3456484149999991,0.0016985850000008629,0.009080399829749718,9.081307960545772e-07,-2.94049404940597,654.940200000001,-2.9402000000010275,23552.239600000157,2.355459505950611,1.0404040404040416,345.9597,1.040300000000002,13550.759100000045,1.3552114311431187,5.305030503050299,8.695500000000006,5.304499999999994,85643.79750000022,8.565236273627384,-7.205120512052531,992.2044000000013,-7.204400000001328,119864.20639999914,11.987619401940108,0.005326872406711048,0.008687674294543637,0.005326339719470377,0.08549422212712408,8.550277240436452e-06,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2.0,0.0
20.0,10000.0,0.0,-0.8288828882890584,1000.8288000000002,-0.8288000000002285,61804.90560000029,6.181108670867116,0.002371477947794909,0.34562875919999986,0.0023712408000001184,0.017848782440153522,1.7850567496903212e-06,-2.913691369135563,654.9133999999987,-2.91339999999866,44035.00439999993,4.403940834083402,2.0848084808491194,345.91539999999895,2.0846000000010463,25416.428399999942,2.5418970297029646,1.3339333933393043,8.66620000000003,1.33379999999997,85259.77560000021,8.526830243024323,-2.162816281631308,992.1626000000032,-2.162600000003181,146117.6124000003,14.613222562256256,0.0013411041739763516,0.008659029936441047,0.0013409700635589536,0.08511163891348021,8.512015092857307e-06,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3.0,0.0
30.0,10000.0,0.0,-0.7421742174219617,1000.7421000000002,-0.7421000000001641,83967.87589999988,8.397627352735261,0.002378180318031442,0.34562205750000036,0.002377942499999619,0.02670591126393738,2.6708582122149598e-06,-2.8636863686364222,654.8633999999996,-2.863399999999615,62455.40440000102,6.2461650565057525,2.1215121512163932,345.87869999999873,2.12130000000127,36887.86309999974,3.6891552255225264,2.333733373337351,8.666499999999983,2.333500000000017,88920.77749999969,8.892967046704639,-3.0759075907594706,992.0756000000003,-3.0756000000003496,174690.84640000015,17.47083172317233,0.0023399976984773696,0.008660236301292477,0.0023397636987075223,0.08881599683893272,8.882487932686541e-06,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2.0,0.0
40.0,10000.0,0.0,-1.6986698669865063,1000.6984999999999,-1.6984999999998536,101577.97750000017,10.158813631363152,0.002724248824882647,0.34562402359999983,0.002723976400000161,0.035594884996430286,3.559844484091438e-06,-3.833283328334346,654.8329000000015,-3.832900000001473,78691.77590000001,7.8699645864586465,2.134613461345907,345.8656000000002,2.1343999999998005,47987.3663999999,4.799216561656156,1.2846284628462836,8.7155,1.2844999999999995,88735.5975,8.874447194719473,-2.983298329833474,991.9830000000005,-2.9830000000005157,189233.10999999903,18.92520352035194,0.0013006896951212026,0.008709450383858319,0.001300559626151691,0.08861350869853411,8.862237093562767e-06,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1.0,0.0
50.0,10000.0,0.0,-5.630963096310552,1000.6304000000009,-5.630400000000918,116195.9584000002,11.6207579157916,0.003123965396538697,0.34562034700000094,0.0031236529999990603,0.04494848714990992,4.495298244815473e-06,-6.792679267926587,654.7919999999998,-6.791999999999803,93951.36000000007,9.396075607560764,1.161716171617229,345.8383999999999,1.1616000000000781,59278.854399999924,5.928478287828775,1.264826482648301,8.735299999999963,1.2647000000000368,87592.33909999947,8.760109920992047,-6.895789578957306,991.8950999999994,-6.895099999999388,203688.95989999958,20.370933083308287,0.0013204901999709188,0.008729893105330485,0.0013203581509509225,0.08749335777698139,8.750210798778016e-06,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
60.0,10000.0,0.0,-7.603360336033688,1000.6026,-7.602600000000052,124862.73240000111,12.487521992199332,0.003801596459644563,0.3456447837000014,0.0038012162999985777,0.054065352973143264,5.407076004914818e-06,-8.750275027506973,654.7494000000042,-8.749400000004243,107419.99639999917,10.743073947394658,1.1469146914682824,345.85320000000087,1.146799999999132,69112.49760000041,6.91194095409545,4.309730973097357,8.690699999999952,4.309300000000048,85360.3351000002,8.536887198719892,-11.913091309128731,991.9118999999978,-11.911899999997786,212055.3838999989,21.207659155915483,0.004406416351117784,0.00868566578095036,0.004405975709482672,0.08529808599522724,8.530661665689293e-06,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3.0,0.0
70.0,10000.0,0.0,-6.567356735672092,1000.5666999999985,-6.566699999998491,131973.51110000166,13.198670977097876,0.00546200450044898,0.34564554170000106,0.005461458299998945,0.06318308651261104,6.318940545315636e-06,-9.726072607259084,654.7250999999984,-9.725099999998406,118883.29990000174,11.889518941894364,3.1587158715855708,345.84160000000156,3.158399999998437,79459.0944,7.946704110411042,-1.6353635363536707,8.635200000000035,-1.6352000000000348,86893.20960000026,8.690189978997926,-4.931993199319436,991.9314999999995,-4.93149999999946,221026.07750000202,22.104818231823383,-0.0015884369828868825,0.008630531660315355,-0.001588278139188594,0.08682153304744002,8.683021606904693e-06,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
80.0,10000.0,0.0,-7.546554655464433,1000.5457999999988,-7.545799999998849,139123.02359999996,13.913693729372932,0.005803382638263299,0.34565719770000053,0.0058028022999994655,0.07240502562414716,7.241226685083225e-06,-10.700870087008866,654.6998000000002,-10.69980000000021,131652.79960000084,13.16659661966205,3.154315431543921,345.8459999999992,3.154000000000792,89280.83999999994,8.928976897689763,6.328832883288435,8.671799999999894,6.3282000000001055,85032.84759999996,8.504135173517348,-13.875387538755149,991.8740000000013,-13.874000000001274,225771.24000000147,22.57938193819397,0.006439113044396188,0.008667271048177135,0.006438469133091748,0.08497377232345535,8.49822705505104e-06,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1.0,0.0
90.0,10000.0,0.0,-6.529352935295265,1000.5287000000018,-6.528700000001777,144805.76309999824,14.48202451245107,0.006456240224022192,0.34565740540000023,0.006455594599999781,0.08221199101050818,8.222021303181136e-06,-10.689468946895545,654.6884000000009,-10.688400000000911,143793.05439999865,14.3807435143513,4.1601160116009055,345.84030000000024,4.159699999999759,99831.95910000031,9.984194329432974,-1.6734673467347054,8.673300000000031,-1.6733000000000313,83695.6710999999,8.370404150415032,-4.85588558855784,991.855399999999,-4.855399999999008,227164.9084000002,22.718762716271645,-0.0016266851647454622,0.008668776017355748,-0.0016265224962289876,0.08360811488400746,8.361647653166062e-06,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4.0,0.0
