t,counts,nextinct,delta_n,mean_n,delta2_n,M2_n,var_n,delta_h,mean_h,delta2_h,M2_h,var_h,delta_w,mean_w,delta2_w,M2_w,var_w,delta_m,mean_m,delta2_m,M2_m,var_m,delta_ns,mean_ns,delta2_ns,M2_ns,var_ns,delta_nf,mean_nf,delta2_nf,M2_nf,var_nf,delta_fs,mean_fs,delta2_fs,M2_fs,var_fs,cdf_h_0_1,cdf_h_0_2,cdf_h_0_3,cdf_h_0_4,cdf_h_0_5,cdf_h_0_6,cdf_h_0_7,cdf_h_0_8,cdf_h_0_9,p_h_fix_0,p_h_fix_1,cdf_fs_0_1,cdf_fs_0_2,cdf_fs_0_3,cdf_fs_0_4,cdf_fs_0_5,cdf_fs_0_6,cdf_fs_0_7,cdf_fs_0_8,cdf_fs_0_9,p_fs_fix_0,p_fs_fix_1
0.0,10000.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.3003,0.0,0.0,0.0,0.0,699.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,466.0,0.0,0.0,0.0,0.0,533.0,0.0,0.0,0.0,0.0,0.46646646646646645,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
10.0,10000.0,0.0,4.337733773378659,999.6626999999987,4.337300000001278,226725.28709999984,22.674796189618945,0.007466598559854931,0.3003031481000011,0.007465851899998932,0.45288176784766504,4.529270605537204e-05,-4.460746074609233,699.4603000000018,-4.46030000000178,555908.2391000027,55.59638354835511,8.798479847983856,300.2024000000009,8.797599999999079,476116.3423999991,47.61639587958787,4.5028502850286145,466.49759999999986,4.5024000000001365,3095873.9424000066,309.61835607560823,-0.1651165116508082,533.1650999999996,-0.16509999999959746,3253914.4199000085,325.4239843884397,0.0024615943105185667,0.46666215782500814,0.0024613481510875057,3.115177770151376,0.0003115489319083284,0.0,0.0,4883.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,9702.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
20.0,10000.0,0.0,4.155415541554817,999.8449999999993,4.155000000000655,218403.75000000087,21.84255925592568,0.006483431143114282,0.30029021720000004,0.006482782799999975,0.9095535672742383,9.09644531727411e-05,-3.6016601660135166,699.601299999997,-3.601299999996968,1016051.3830999968,101.61529983998368,7.757075707572142,300.2436999999986,7.756300000001374,928949.1030999977,92.90420073007279,-2.6390639063902768,466.63879999999966,-2.6387999999996623,3120159.3456000052,312.04713927392794,6.794479447947879,533.2061999999969,6.7938000000031025,3220950.8155999845,322.12729428942737,-0.0045645205816560175,0.4667154585519086,-0.004564064129597867,3.114258176082776,0.00031145696330460806,0.0,0.0,4933.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,9722.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
30.0,10000.0,0.0,-5.774277427742959,999.7737000000002,-5.77370000000019,221166.88310000207,22.11890020002021,0.01661701740173921,0.300285644300001,0.016615355699999057,1.344311433555774,0.00013444458781435882,-20.557955795582075,699.5559000000026,-20.555900000002566,1450644.7519000082,145.07898308830966,14.783678367836387,300.2178000000004,14.782199999999591,1363981.6316,136.41180434043403,-3.887888788878911,466.88750000000005,-3.8875000000000455,3129966.4375000005,313.0279465446545,-1.8863886388627407,532.8861999999989,-1.8861999999988939,3263060.4955999968,326.3386834283425,-0.0012044641239348786,0.4669991122891925,-0.0012043436775224792,3.138184164064004,0.00031384980138653905,0.0,0.0,4958.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,9701.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
40.0,10000.0,0.0,-6.78907890789128,999.7884000000005,-6.788400000000479,217422.2544000002,21.74439987998802,0.006680318831883636,0.30047034919999954,0.006679650800000436,1.8134438644545945,0.00018136252269772922,-11.38233823382211,699.3811999999988,-11.381199999998785,1913460.865600005,191.36522308230875,4.593259325932081,300.4072000000005,4.5927999999994995,1834701.8816000063,183.488537013702,-13.586358635863178,466.5849999999996,-13.584999999999582,3079801.750000006,308.01097609761035,6.797279727972409,533.2034000000004,6.796599999999557,3198394.2843999937,319.8714155815575,-0.010496648932112718,0.4666889527415397,-0.010495599267219491,3.082141044217268,0.0003082449289146183,0.0,0.0,4909.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,2.0,9718.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
50.0,10000.0,0.0,-12.865686568654837,999.864399999998,-12.864399999998,220960.1263999973,22.098222462245953,0.013515978097809023,0.30056837350000076,0.013514626499999238,2.2516404897579814,0.0002251865676325614,-22.339233923393863,699.3370000000015,-22.337000000001467,2362098.3099999987,236.2334543454344,9.473547354736809,300.5273999999987,9.472600000001307,2268886.492399987,226.9113403740361,-14.823282328232324,466.8217999999995,-14.821799999999484,3094736.447599984,309.50459521952035,1.9575957595775435,533.0425999999984,1.9574000000015985,3214263.8523999816,321.45853109310747,-0.008937850273123493,0.4668903506117031,-0.00893695648809617,3.0963463131015097,0.00030966559786993795,0.0,0.0,4881.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,1.0,9693.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
60.0,10000.0,0.0,7.17951795179215,999.821200000003,7.178799999996954,223838.30560000116,22.38606916691681,0.021106002900290244,0.3006441076999998,0.021103892300000204,2.6970634836170144,0.00026973332169387084,-16.232123212318697,699.2304999999975,-16.230499999997505,2801121.6975000114,280.140183768378,23.411641164116816,300.5906999999996,23.409300000000428,2718019.7351000113,271.8291564256437,-26.618461846185426,466.61580000000083,-26.61580000000083,3084515.903599997,308.4824386038601,33.79797979797843,533.2054000000014,33.79459999999858,3238532.108400012,323.88559939994116,-0.029767775230059745,0.4667062085816331,-0.029764798452536767,3.1015806296953183,0.0003101890818777196,0.0,0.0,4916.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,9712.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
70.0,10000.0,0.0,-5.7725772577248335,999.771999999999,-5.771999999999025,220064.15999999884,22.008616861686054,0.02217048054805537,0.30076973649999944,0.022168263500000562,3.1529517035746686,0.0003153267030277696,-26.074307430744852,699.0717000000018,-26.071700000001783,3271889.591099995,327.22168127812733,20.301730173017063,300.70030000000025,20.299699999999746,3166068.7991,316.63854376437644,-5.53715371537163,466.5366000000001,-5.536600000000078,3139266.6044000005,313.9580562456246,-0.23542354235200946,533.2353999999978,-0.23539999999775318,3276643.868399987,327.69715655565426,-0.0028667263590061998,0.46664913586343265,-0.0028664396863702923,3.150253878258973,0.0003150568935152488,0.0,0.0,4858.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,2.0,9701.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
80.0,10000.0,0.0,1.2181218121836537,999.7819999999975,1.218000000002462,223958.76000000047,22.398115811581206,0.02691658205820574,0.30075810960000005,0.026913890399999918,3.5921389172618814,0.0003592498167078589,-26.092709270928708,699.0901000000016,-26.0901000000016,3709813.819899986,371.01848383838245,27.310831083108383,300.6918999999999,27.30810000000008,3606723.743900002,360.70844523452365,6.257525752575248,466.7431,6.256899999999973,3182607.0238999967,318.29253164316395,-5.039403940392845,533.0388999999988,-5.038899999998762,3296915.867900001,329.7245592459247,0.005678178057900829,0.46684986228737746,0.0056776102400950546,3.181262829806934,0.0003181580987905725,0.0,0.0,4902.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,9702.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
90.0,10000.0,0.0,-6.786878687863691,999.7861999999949,-6.786199999994892,221426.89559999952,22.144904050404993,0.026514367236723346,0.30077928420000033,0.02651171579999967,4.082430575364299,0.00040828388592502237,-31.07390739073867,699.0707999999996,-31.070799999999622,4184803.8736000136,418.52223958395973,24.287028702870657,300.71539999999965,24.284600000000353,4103868.0284000244,410.4278456245649,-1.4591459145892713,466.4589999999978,-1.4589999999977863,3088339.18999999,308.8648054805471,-5.327732773274761,533.3271999999974,-5.327199999997447,3225103.4015999953,322.54259441944146,0.0017132598150467193,0.4665648571302701,0.0017130884890652065,3.098193407734378,0.0003098503258060184,0.0,0.0,4900.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,9700.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
