t,counts,nextinct,delta_n,mean_n,delta2_n,M2_n,var_n,delta_h,mean_h,delta2_h,M2_h,var_h,delta_w,mean_w,delta2_w,M2_w,var_w,delta_m,mean_m,delta2_m,M2_m,var_m,delta_ns,mean_ns,delta2_ns,M2_ns,var_ns,delta_nf,mean_nf,delta2_nf,M2_nf,var_nf,delta_fs,mean_fs,delta2_fs,M2_fs,var_fs,cdf_h_0_1,cdf_h_0_2,cdf_h_0_3,cdf_h_0_4,cdf_h_0_5,cdf_h_0_6,cdf_h_0_7,cdf_h_0_8,cdf_h_0_9,p_h_fix_0,p_h_fix_1,cdf_fs_0_1,cdf_fs_0_2,cdf_fs_0_3,cdf_fs_0_4,cdf_fs_0_5,cdf_fs_0_6,cdf_fs_0_7,cdf_fs_0_8,cdf_fs_0_9,p_fs_fix_0,p_fs_fix_1
0.0,9990.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.3003,0.0,0.0,0.0,0.0,699.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,466.0,0.0,0.0,0.0,0.0,533.0,0.0,0.0,0.0,0.0,0.466466466466,0.0,0.0,0.0,0.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,0.0,0.0,0.0,0.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
10.0,9990.0,0.0,0.0723796175812,998.927627628,0.0723723723743,2441540.67477,244.422932703,-0.00506571598759,0.300360208909,-0.00506520890891,0.555496112301,5.56107830915e-05,5.11122234458,698.889289289,5.11071071071,1746553.55395,174.847687852,-5.038842727,300.038338338,-5.03833833834,775150.316416,77.6003920729,3.80618680549,466.194194194,3.80580580581,3255479.26326,325.906423392,-3.73380718791,532.733433433,-3.73343343343,4633801.13323,463.890392755,0.0037152525227,0.466755589845,0.00371488062555,3.29664930415,0.000330027961173,0.0,0.0,4850.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,0.0,0.0,0.0,2.0,9662.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
20.0,9990.0,0.0,6.02282510762,998.977777778,6.02222222222,4591503.06667,459.655928188,-0.00091728891781,0.300419197097,-0.000917197097098,1.11447123273,0.000111569850108,5.1345480028,698.865965966,5.13403403403,3363209.52843,336.691313287,0.888277104814,300.111811812,0.888188188187,1522490.10621,152.416668956,6.56622284513,466.434434434,6.56556556557,3310360.55455,331.400596111,-0.543397737511,532.543343343,-0.543343343344,5864046.73233,587.050428705,0.00362234001585,0.46702478875,0.00362197741925,3.37134856153,0.000337506112877,0.0,0.0,4813.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,0.0,0.0,0.0,1.0,9611.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
30.0,9990.0,0.0,22.8904795275,999.111811812,22.8881881882,6366318.10621,637.332876785,-0.00390214846331,0.300378757858,-0.00390175785786,1.6400385188,0.00016418445478,20.0021023125,698.9998999,20.0001001001,4755218.9999,476.045550095,2.88837721494,300.111911912,2.88808808809,2208338.88248,221.077073029,42.3084392832,466.695795796,42.3042042042,3402488.52342,340.623538234,-19.4179597557,532.416016016,-19.416016016,6933517.03744,694.115230497,0.0307790211599,0.467267112661,0.0307759401768,3.47967217985,0.000348350403429,0.0,0.0,4893.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,0.0,0.0,0.0,1.0,9609.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
40.0,9990.0,0.0,27.785964561,999.216816817,27.7831831832,7982440.37477,799.123072858,-0.0325525083592,0.30031924985,-0.0325492498499,2.20236990073,0.000220479517543,52.8758634498,699.129429429,52.8705705706,6065005.64775,607.16845007,-25.0898988888,300.087387387,-25.0873873874,2935768.71081,293.900161258,-10.9244168585,465.923323323,-10.9233233233,3393457.26567,339.719417926,38.7103814196,533.293493493,38.7065065065,7839401.47708,784.803431482,-0.0234493569085,0.466484984309,-0.0234470096255,3.49316408184,0.000349701079371,0.0,0.0,4935.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,0.0,0.0,0.0,0.0,9610.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
50.0,9990.0,0.0,43.1048152968,998.899499499,43.1005005005,9243747.0975,925.392641656,-0.0315593487837,0.30027018969,-0.0315561896897,2.74985955274,0.000275288772924,63.0538592452,698.952452452,63.0475475475,7170388.41491,717.82845279,-19.9490439483,299.947047047,-19.947047047,3618316.98789,362.230151956,18.9167083792,466.085185185,18.9148148148,3443810.50741,344.760287057,24.1881069176,532.814314314,24.1856856857,8722936.55305,873.254234964,-0.00138251189221,0.466833429165,-0.00138237350263,3.62554227491,0.000362953476315,0.0,0.0,4960.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,0.0,0.0,0.0,1.0,9577.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
60.0,9990.0,0.0,16.433076384,998.568568569,16.4314314314,10243496.5305,1025.4776785,-0.026355339073,0.300244700901,-0.0263527009009,3.27960474794,0.000328321628585,38.2564821303,698.747347347,38.2526526527,8203582.3047,821.261618251,-21.8234057463,299.821221221,-21.8212212212,4227864.7011,423.252047362,45.0348383222,465.96966967,45.0303303303,3550971.80991,355.488218031,-28.6017619381,532.598898899,-28.5988988989,9402265.78789,941.261966952,0.0365544958731,0.466897439098,0.0365508367645,3.74895997391,0.000375308837112,0.0,0.0,4945.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,0.0,0.0,0.0,0.0,9527.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
70.0,9990.0,0.0,26.5427970768,998.45985986,26.5401401401,11135993.4038,1114.82564859,-0.035844608169,0.30023102012,-0.0358410201201,3.80540308023,0.000380959363323,55.3226549204,698.682882883,55.3171171171,9138159.37297,914.822241763,-28.7798578436,299.776976977,-28.776976977,4842243.1047,484.757543769,1.77685453999,466.223323323,1.77667667668,3577622.76567,358.15624844,24.7659425368,532.236536537,24.7634634635,9896068.06416,990.696572646,-0.0106394947256,0.467223795565,-0.0106384297111,3.77555966815,0.000377971735725,0.0,0.0,4984.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,0.0,0.0,0.0,5.0,9555.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
80.0,9990.0,0.0,8.54610071078,998.454754755,8.54524524524,11967313.0491,1198.04915899,-0.0292386009611,0.300337674174,-0.0292356741742,4.35938233709,0.000436418293832,35.434678146,698.568868869,35.4311311311,10041270.1182,1005.23276787,-26.8885774352,299.885885886,-26.8858858859,5497865.90991,550.392022215,6.94453899289,466.056156156,6.94384384384,3681175.4964,368.522924857,1.60156171789,532.398598599,1.6014014014,10382252.7804,1039.36858348,0.00263791922617,0.467074360719,0.0026376551702,3.84921541647,0.00038534542161,0.0,0.0,4976.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,0.0,0.0,0.0,0.0,9527.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
90.0,9990.0,0.0,-22.2906196816,998.288388388,-22.2883883884,12586568.1531,1260.04286245,-0.033041053659,0.300455746246,-0.0330377462462,4.91174556208,0.000491715443195,16.6666332966,698.335035035,16.664964965,10897941.6377,1090.99425746,-38.9572529783,299.953353353,-38.9533533534,6104154.26266,611.087622651,-3.01982180398,466.01951952,-3.01951951952,3661069.19369,366.510080458,-19.2707978777,532.268868869,-19.2688688689,10704679.8182,1071.64679329,0.00725478728839,0.467131184818,0.00725406108345,3.83939132823,0.000384361930947,0.0,0.0,4938.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,0.0,0.0,0.0,2.0,9501.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
100.0,9990.0,0.0,-19.4477925718,998.445845846,-19.4458458458,13185600.2026,1320.0120335,-0.0328430008009,0.300459713213,-0.0328397132132,5.4653606681,0.000547137918521,18.5688257083,698.433033033,18.566966967,11621220.6991,1163.4018119,-38.0166182801,300.012812813,-38.0128128128,6756682.35996,676.412289514,-23.246270898,466.243943944,-23.2439439439,3704502.50861,370.858194875,3.79847832616,532.201901902,3.7980980981,11314261.7639,1132.67211571,-0.0148081414342,0.467309212764,-0.0148066591377,3.99439042727,0.000399878909527,0.0,0.0,4957.0,9990.0,9990.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0,0.0,0.0,0.0,1.0,9477.0,9990.0,9990.0,9990.0,9990.0,0.0,0.0
